
str_yes|Si.
str_persuasion_summary_very_good|Pari ad una poesia, il tuo discorso viene ascoltato da molte orecchie. Il mondo intero sembra zittirsi mentre parli. Le tue parole ispirate hanno commosso profondamente {s50}, e {reg51?lei:lui} sembra essere disposto ad aiutarti.
str_name_1|Adanedhel
str_name_2|Ondoher
str_name_3|Aerandir
str_name_4|Agarwaen
str_name_5|Ailinel
str_name_6|Aldarion
str_name_7|Almarian
str_name_8|Amandil
str_name_9|Amlaith
str_name_10|Anardil
str_name_11|Anborn
str_name_12|Andróg
str_name_13|Angbor
str_name_14|Arador
str_name_15|Araglas
str_name_16|Arahael
str_name_17|Arantar
str_name_18|Arassuil
str_name_19|Alcarin
str_name_20|Belegund
str_name_21|Bereg
str_name_22|Bergil
str_name_23|Borthand
str_name_24|Ceorl
str_name_25|Ciryon
str_name_26|Damrod
str_name_27|Derufin
str_name_28|Dorlas
str_name_29|Duilin
str_name_30|Duinhir
str_name_31|Egalmoth
str_name_32|Emeldir
str_name_33|Eradan
str_name_34|Erellont
str_name_35|Erendis
str_name_36|Falathar
str_name_37|Fengel
str_name_38|Forweg
str_name_39|Frumgar
str_name_40|Fuinur
str_name_41|Galdor
str_name_42|Gethron
str_name_43|Gorlim
str_name_44|Grithnir
str_name_45|Gundor
str_name_46|Hador
str_name_47|Haldar
str_name_48|Hallacar
str_name_49|Hathol
str_name_50|Herion
str_name_51|Hild
str_name_52|Hunthor
str_name_53|Imlach
str_name_54|Ioreth
str_name_55|Ivorwen
str_name_56|Labadal
str_name_57|Larnach
str_name_58|Magor
str_name_59|Mairen
str_name_60|Malach
str_name_61|Malantur
str_name_62|Malvegil
str_name_63|Mardil
str_name_64|Meneldur
str_name_65|Minalcar
str_name_66|Minohtar
str_name_67|Ondoher
str_name_68|Orleg
str_name_69|Orodreth
str_name_70|Ostoher
str_name_71|Pelendur
str_name_72|Ragnor
str_name_73|Sador
str_name_74|Súrion
str_name_75|Thorongil
str_name_76|Turambar
str_name_77|Ulfast
str_name_78|Ulwarth
str_name_79|Valacar
str_name_80|Wulf
str_name_elf_1|Merlkir
str_name_elf_2|Romanoir
str_name_elf_3|Aegnor
str_name_elf_4|Amdír
str_name_elf_5|Amras
str_name_elf_6|Annael
str_name_elf_7|Aredhel
str_name_elf_8|Arminas
str_name_elf_9|Caranthir
str_name_elf_10|Curufin
str_name_elf_11|Daeron
str_name_elf_12|Eluchìl
str_name_elf_13|Edrahil
str_name_elf_14|Eluréd
str_name_elf_15|Erestor
str_name_elf_16|Faelivrin
str_name_elf_17|Finrod
str_name_elf_18|Felagund
str_name_elf_19|Galathil
str_name_elf_20|Galdor
str_name_elf_21|Gelmir
str_name_elf_22|Gildor
str_name_elf_23|Guilin
str_name_elf_24|Ithilbor
str_name_elf_25|Lindir
str_name_elf_26|Lómion
str_name_elf_27|Maedhros
str_name_elf_28|Maeglin
str_name_elf_29|Malgalad
str_name_elf_30|Nellas
str_name_elf_31|Nerdanel
str_name_elf_32|Nerwen
str_name_elf_33|Nimloth
str_name_elf_34|Orodreth
str_name_elf_35|Oropher
str_name_elf_36|Orophin
str_name_elf_37|Saeros
str_name_dwarf_1|Assistnik
str_name_dwarf_2|Vader
str_name_dwarf_3|Azaghâl
str_name_dwarf_4|Bifur
str_name_dwarf_5|Bofur
str_name_dwarf_6|Bombur
str_name_dwarf_7|Borin
str_name_dwarf_8|Dori
str_name_dwarf_9|Dwalin
str_name_dwarf_10|Farin
str_name_dwarf_11|Fràr
str_name_dwarf_12|Frerin
str_name_dwarf_13|Frór
str_name_dwarf_14|Gamil
str_name_dwarf_15|Gróin
str_name_dwarf_16|Grór
str_name_dwarf_17|Ibun
str_name_dwarf_18|Khîm
str_name_dwarf_19|Lóni
str_name_dwarf_20|Mîm
str_name_dwarf_21|Nár
str_name_dwarf_22|Narvi
str_name_dwarf_23|Nori
str_name_dwarf_24|Óin
str_name_dwarf_25|Ori
str_name_dwarf_26|Telchar
str_name_dwarf_27|Marco
str_name_dwarf_28|Octo
str_name_orc_1|Triglav
str_name_orc_2|Adgulg
str_name_orc_3|Aghed
str_name_orc_4|Aguk
str_name_orc_5|Alog
str_name_orc_6|Azhug
str_name_orc_7|Bagdud
str_name_orc_8|Bargulg
str_name_orc_9|Bog
str_name_orc_10|Borug
str_name_orc_11|Bulgan
str_name_orc_12|Bumhug
str_name_orc_13|Carguk
str_name_orc_14|Dalthu
str_name_orc_15|Derthag
str_name_orc_16|Dregu
str_name_orc_17|Dugarod
str_name_orc_18|Ertguth
str_name_orc_19|Fandagh
str_name_orc_20|Farghed
str_name_orc_21|Fozhug
str_name_orc_22|Furbog
str_name_orc_23|Gholug
str_name_orc_24|Gnalurg
str_name_orc_25|Grug
str_name_orc_26|Haguk
str_name_orc_27|Hoknuk
str_name_orc_28|Igmut
str_name_orc_29|Jolagh
str_name_orc_30|Jukha
str_name_orc_31|Karguk
str_name_orc_32|Klog
str_name_orc_33|Krothu
str_name_orc_34|Kulgha
str_name_orc_35|Margulg
str_name_orc_36|Mazhug
str_name_orc_37|Naghat
str_name_orc_38|Nugbu
str_name_orc_39|Nurbag
str_name_orc_40|Oggha
str_name_orc_41|Olodagh
str_name_orc_42|Omogulg
str_name_orc_43|Opoguk
str_name_orc_44|Orgoth
str_name_orc_45|Perthag
str_name_orc_46|Pofhug
str_name_orc_47|Prutha
str_name_orc_48|Raguk
str_name_orc_49|Romarod
str_name_orc_50|Rugbu
str_name_orc_51|Sargulg
str_name_orc_52|Slog
str_name_orc_53|Suhgan
str_name_orc_54|Surgha
str_name_orc_55|Torug
str_name_orc_56|Turbag
str_name_orc_57|Urghat
str_name_orc_58|Varguk
str_name_orc_59|Zlog
str_name_orc_60|Zunuguk
str_surname_1|{s50} di Tarnost
str_surname_2|{s50} di Lossarnach
str_surname_3|{s50} di Erech
str_surname_4|{s50} di Edhellond
str_surname_5|{s50} di Pelargir
str_surname_6|{s50} di Linhir
str_surname_7|{s50} di Ethring
str_surname_8|{s50} di Aldburg
str_surname_9|{s50} di Isengard
str_surname_10|{s50} dell'Ovestfalda
str_surname_11|{s50} di Erebor
str_surname_12|{s50} dell'Estfalda
str_surname_13|{s50} del Morannon
str_surname_14|{s50} di Cirith Ungol
str_surname_15|{s50} di Osgiliath
str_surname_16|{s50} di Moria
str_surname_17|{s50} di Dale
str_surname_18|{s50} di Esgaroth
str_surname_19|{s50} di Dol Guldur
str_surname_20|{s50} di Gundabad
str_surname_21|{s50} il Lungo
str_surname_22|{s50} lo Scarno
str_surname_23|{s50} il Nazgul
str_surname_24|{s50} il Passero
str_surname_25|{s50} il Maledetto
str_surname_26|{s50} lo Sfregiato
str_surname_27|{s50} l'Onesto
str_surname_28|{s50} il Cupo
str_surname_29|{s50} il Rosso
str_surname_30|{s50} il Nero
str_surname_31|{s50} l'Alto
str_surname_32|{s50} l'Occhio-di-Stella
str_surname_33|{s50} l'Intrepido
str_surname_34|{s50} il Mordi-Albero
str_surname_35|{s50} l'Astuto
str_surname_36|{s50} il Codardo
str_surname_37|{s50} lo Splendente
str_surname_38|{s50} lo Sveglio
str_surname_39|{s50} il Menestrello
str_surname_40|{s50} l'Audace
str_surname_41|{s50} l'Irascibile
str_number_of_troops_killed_reg1|Numero di truppe uccise: {reg1}
str_number_of_troops_wounded_reg1|Numero di truppe ferite: {reg1}
str_number_of_own_troops_killed_reg1|Numero di truppe alleate morte: {reg1}
str_number_of_own_troops_wounded_reg1|Numero di truppe alleate ferite: {reg1}
str_retreat|Ritirata !
str_siege_continues|Lo scontro continua...
str_casualty_display|Le tue perdite: {s10}^Perdite nemiche: {s11}{s12}
str_casualty_display_hp|^Hai ricevuto ferite per {reg1} punti salute.
str_quest_log_updated|Il registro missioni è stato aggiornato...
str_banner_selection_text|Ti è stato concesso il diritto di portare uno stendardo. Il tuo stendardo indicherà la tua condizione e ti porterà onore. Quale stendardo vuoi scegliere ?
str_loot_village|attacca i popolani innocenti
str_steal_from_villagers|ruba dai poveri popolani
str_rob_caravan|deruba una carovana mercantile
str_sell_slavery|vendi persone in schiavitù
str_men_hungry|rimanere senza cibo
str_men_unpaid|non si possa pagare questa persona
str_excessive_casualties|Sacrificare tanti nostri soldati
str_surrender|arrendersi al nemico
str_flee_battle|fuggire dalla battaglia
str_pay_bandits|paga i comuni banditi
str_fail_quest|si fallisca in una missione nella quale ci siamo impegnati dando la nostra parola d'onore
str_squander_money|sperpera i denari datici con fiducia
str_murder_merchant|facci coinvolgere in assassinii a sangue freddo
str_round_up_serfs|raduna servi per conto di qualche nobile
str_battle_fate_1|Siamo stati separati nella foga della battaglia
str_battle_fate_2|Mi hanno ferito e pensavano che fossi un cadavere.
str_battle_fate_3|Un colpo nemico mi ha fatto perdere i sensi
str_battle_fate_4|Ero in ostaggio, per un riscatto
str_battle_fate_5|Ero in catene, ma ho avuto modo di fuggire
str_npc_morale_report|Sono {s6} la vostra scelta degli accompagnatori, {s7} il tuo stile di comando, e {s8} lo stato generale degli affari
str_happy|felice riguardo
str_content|mi accontento riguardo
str_concerned|in ansia riguardo
str_not_happy|non del tutto felice riguardo
str_miserable|infelice riguardo
str_morale_reg1|Morale: {reg1}
str_bar_enthusiastic|Entusiasta
str_bar_content|Contento
str_bar_weary|Stanco
str_bar_disgruntled|Scontento
str_bar_miserable|Infelice
str_here_plus_space|qui
str_npc1_intro|I miei saluti, guerriero, e benvenuto a Henneth Annûn.
str_npc2_intro|I miei saluti, straniero, posso chiederti cos'hai intenzione di fare qui ?
str_npc3_intro|Hey ! Ti dispiacerebbe smetterla di disturbare, viaggiatore ?
str_npc4_intro|Benvenuto a Meduseld, guerriero !
str_npc5_intro|I miei saluti {playername}. Mae govannen !
str_npc6_intro|Lasciami in pace, straniero, non desidero parlarti.
str_npc7_intro|Kili, figlio di Dwalin, al tuo servizio !
str_npc8_intro|Benvenuto a Dale, viandante ! Come posso aiutarti ?
str_npc9_intro|Ssh ! Se fai tanto di attirare le guardie, ti sgozzo e ti do in pasto ai mannari !
str_npc10_intro|Tu !
str_npc11_intro|Arr ! Non sei di queste parti, vero ? Posso capirlo dall'odore e se provi a dire che non è così di fronte ai capi ti strappo gli occhi !
str_npc12_intro|Oho ! Cosa pensi di fare nascosto qui ?
str_npc13_intro|Aspetta un attimo ! Chi ti ha dato il permesso di entrare nella tenda del Capitano ?
str_npc14_intro|Hai la camminata di un uomo le cui gambe hanno avuto troppo poco a che fare con il mare, straniero.
str_npc15_intro|Prega il Grande Occhio, guerriero !
str_npc16_intro|Non capita spesso che uno straniero si aggiri tra le tende delle terre orientali. Cosa ti porta qui ? Parla, e sii veloce.
str_npc17_intro|Hey. Ti piacciono questi boschi ?
str_npc1_intro_response_1|I miei saluti, Mastro Inseguitore.  Come va con i Raminghi del Sud ?
str_npc2_intro_response_1|I miei affari sono gli affari di Gondor, e tu chi sei ?
str_npc3_intro_response_1|E una buona giornata anche a te, c'è qualcosa che non va ?
str_npc4_intro_response_1|Saluti, mia Signora. Con chi ho l'onore di parlare ?
str_npc5_intro_response_1|I miei saluti Signore degli Elfi ! È un grande onore incontrarti.
str_npc6_intro_response_1|È così che gli Elfi Silvani accolgono i loro ospiti ?
str_npc7_intro_response_1|{playername} al tuo servizio. Come sta il popolo di Durin ?
str_npc8_intro_response_1|I miei saluti. Mi chiedevo se ci fosse qualche volontario che voglia unirsi a noi nei nostri viaggi.
str_npc9_intro_response_1|Tieni per te le minacce, Uruk-Hai, prima che finisca male - non sono una spia.
str_npc10_intro_response_1|Chi sei ?
str_npc11_intro_response_1|Chi sei ?
str_npc12_intro_response_1|Chi sei ?
str_npc13_intro_response_1|Chi sei ?
str_npc14_intro_response_1|Chi sei ?
str_npc15_intro_response_1|Prega il Grande Occhio, Snaga. Qual è la tua storia ?
str_npc16_intro_response_1|Chi sei ?
str_npc17_intro_response_1|Bosco Atro è una foresta sorprendente. Chi sei ? Hai molte conoscenze riguardo i boschi ?
str_npc1_intro_response_2|Lasciamo stare, le caverne mi mettono a disagio, non sono un posto piacevole per conversare.
str_npc2_intro_response_2|Non importa, non ho tempo per parlare alle guardie.
str_npc3_intro_response_2|Non importa, farò 'baccano' altrove. 
str_npc4_intro_response_2|Perdonami, ho urgenti compiti da svolgere altrove.
str_npc5_intro_response_2|Scusatemi, ho persone meno importanti con cui parlare.
str_npc6_intro_response_2|Il sentimento è reciproco. Arrivederci.
str_npc7_intro_response_2|Non importa, ho bisogno di un po' d'aria fresca.
str_npc8_intro_response_2|Non importa, stiamo solo osservando.
str_npc9_intro_response_2|Mi limiterò a proseguire per la mia strada allora, o il mio braccio di spada comincerà a prudermi.
str_npc10_intro_response_2|[Ignora e allontanati]
str_npc11_intro_response_2|Fatti gli affari tuoi, verme !
str_npc12_intro_response_2|Fatti gli affari tuoi, verme !
str_npc13_intro_response_2|Fatti gli affari tuoi !
str_npc14_intro_response_2|Fatti gli affari tuoi !
str_npc15_intro_response_2|Hmmf. Tieni lontane quelle luride zampette, Snaga.
str_npc16_intro_response_2|Fatti gli affari tuoi !
str_npc17_intro_response_2|Sì, i boschi sono incantevoli, ma ora devo muovermi.
str_npc1_backstory_a|Tu vieni in tempi difficili, amico. Ithilien brulica di esploratori nemici e razziatori, e alcuni hanno visto grandi orde di orchi in marcia. Stiamo provando ad impedire a queste creature di attraversare il fiume e ho comandato un gruppo di abili Raminghi per riuscirci. Il mio Capitano Faramir è motivato e io non mi preoccupo dell'Ombra che incombe su di noi.
str_npc2_backstory_a|Ah, sei gentile a preoccuparti per me. Sono appena stato assegnato come guardia del Sovrintendente. Un nobile compito, ma se posso dirlo, non molto esaltante.
str_npc3_backstory_a|Beh, il mio elmo sembra diventare sempre più piccolo ogni minuto, e il terreno sembra fragile come un foglio di carta. Ah, se solo non avessi bevuto tutta quella birra la scorsa notte - di solito reggo bene le bevute, devo aver tracannato della birra d'orco avariata.
str_npc4_backstory_a|Il mio nome è Galmyne, e il mio compito è conoscere le tue intenzioni, {playername}. Lascia che ti spieghi il perché.
str_npc5_backstory_a|Forse hai sentito parlare delle mie gesta nelle battaglie passate e dimenticate dagli Uomini mortali. Nel pieno di questa guerra, gli Eldar sono nuovamente in pericolo, ma questa... sarà l'ultima guerra.
str_npc6_backstory_a|Scusa la mia sfrontatezza, straniero, ma non abbiamo molti visitatori qui e quelli che arrivano non sembrano molto affidabili. Solo la scorsa settimana, questo nano è apparso e... lasciamo perdere. Il mio nome è Luevanna, degli Elfi Silvani di Bosco Atro.
str_npc7_backstory_a|Gentile da parte tua chiedere, {playername}. Stiamo combattendo le incursioni degli Easterlings e degli Orchi di Gundabad, ma niente che noi o i nostri alleati di Dale non possiamo gestire.
