
str_yes|Yes.
str_surname_24|{s50} the Sparrow
str_surname_25|{s50} the Cursed
str_surname_26|{s50} the Scarred
str_surname_27|{s50} the Fair
str_surname_28|{s50} the Grim
str_surname_29|{s50} the Red
str_surname_30|{s50} the Black
str_surname_31|{s50} the Tall
str_surname_32|{s50} the Star-Eyed
str_surname_33|{s50} the Fearless
str_surname_34|{s50} the Tree-biter
str_surname_35|{s50} the Cunning
str_surname_36|{s50} the Coward
str_surname_37|{s50} the Bright
str_surname_38|{s50} the Quick
str_surname_39|{s50} the Minstrel
str_surname_40|{s50} the Bold
str_surname_41|{s50} the Hot-Head
str_number_of_troops_killed_reg1|Number of troops killed: {reg1}
str_number_of_troops_wounded_reg1|Number of troops wounded: {reg1}
str_number_of_own_troops_killed_reg1|Number of friendly troops killed: {reg1}
str_number_of_own_troops_wounded_reg1|Number of friendly troops wounded: {reg1}
str_retreat|Retreat!
str_siege_continues|Fighting Continues...
str_casualty_display|Your casualties: {s10}^Enemy casualties: {s11}{s12}
str_casualty_display_hp|^You were wounded for {reg1} hit points.
str_quest_log_updated|Quest log has been updated...
str_banner_selection_text|You have been awarded the right to carry a banner. Your banner will signify your status and bring you honour. Which banner do you want to choose?
str_loot_village|attack innocent villagers
str_steal_from_villagers|steal from poor villagers
str_rob_caravan|rob a merchant caravan
str_sell_slavery|sell people into slavery
str_men_hungry|run out of food
str_men_unpaid|not be able to pay the men
str_excessive_casualties|sacrifice so many of our soldiers
str_surrender|surrender to the enemy
str_flee_battle|run from battle
str_pay_bandits|pay off common bandits
str_fail_quest|fail a quest which we undertook on word of honour
str_squander_money|squander money given to us in trust
str_murder_merchant|involve ourselves in cold-blooded murder
str_round_up_serfs|round up serfs on behalf of some noble
str_battle_fate_1|We were separated in the heat of battle
str_battle_fate_2|I was wounded and left for dead
str_battle_fate_3|I was knocked senseless by the enemy
str_battle_fate_4|I was taken and held for ransom
str_battle_fate_5|I got captured, but later managed to escape
str_npc_morale_report|I'm {s6} your choice of companions, {s7} your style of leadership, and {s8} the general state of affairs
str_happy|happy about
str_content|content with
str_concerned|concerned about
str_not_happy|not at all happy about
str_miserable|downright appalled at
str_morale_reg1| Morale: {reg1}
str_bar_enthusiastic|                   Enthusiastic
str_bar_content|              Content
str_bar_weary|          Weary
str_bar_disgruntled|     Disgruntled
str_bar_miserable|  Miserable
str_here_plus_space|here 
str_npc1_intro|Hail, warrior, and welcome to Henneth Annûn.
str_npc2_intro|Hail, visitor! Might I ask what is your business here?
str_npc3_intro|Ho! Keep the racket down if you please, traveller.
str_npc4_intro|Welcome to Meduseld, warrior!
str_npc5_intro|Hail {playername}. Mae govannen!
str_npc6_intro|Leave me alone, stranger, I do not wish to speak to you.
str_npc7_intro|Kíli, son of Dwalin, at your service!
str_npc8_intro|Welcome to Dale, traveller! How can I help you?
str_npc9_intro|Ssh! If you so much as wave to the guards, I'll slice out your gizzard and feed it to the wargs!
str_npc10_intro|You!
str_npc11_intro|Ar! You're not from around here are you? I can smell it, an' if you say I can't in front of the Bosses I'll squeeze your eyes out!
str_npc12_intro|Oho! What are you doing, lurking up here?
str_npc13_intro|Hold there! What brings you to the Chieftain's tent?
str_npc14_intro|You have the walk of a man whose legs have seen too few days at sea, stranger.
str_npc15_intro|Praise the Eye, oh Warrior!
str_npc16_intro|It is not often one strange to my eyes walks among tents of the eastern lands. What brings you here? Speak now and be swift.
str_npc17_intro|Hey. Fancy them woods there?
str_npc1_intro_response_1|Hail, Master Tracker. How fare the Rangers of the South?
str_npc2_intro_response_1|My business is Gondor's business, and who are you?
str_npc3_intro_response_1|And a good day to you too, is there something amiss?
str_npc4_intro_response_1|Greetings, my Lady. With whom do I have the honour to speak?
str_npc5_intro_response_1|Hail Elf-lord! It's a great honour to meet you.
str_npc6_intro_response_1|Is this how the Silvan Elves greet their guests?
str_npc7_intro_response_1|{playername} at your service. How fare the Durin's folk?
str_npc8_intro_response_1|Greetings. I was wondering if there are any volunteers here to join us in our travels.
str_npc9_intro_response_1|Hold your threats, Uruk, before it comes to blows - I am not a snitch.
str_npc10_intro_response_1|Who are you?
str_npc11_intro_response_1|Who are you?
str_npc12_intro_response_1|Who are you?
str_npc13_intro_response_1|Who are you?
str_npc14_intro_response_1|Who are you?
str_npc15_intro_response_1|Praise the Eye, Snaga. What's your story?
str_npc16_intro_response_1|Who are you?
str_npc17_intro_response_1|Mirkwood is a magnificent forest. Who are you? Do you know much about the woods?
str_npc1_intro_response_2|Never mind, I fear caves do not make a pleasant place for conversation.
str_npc2_intro_response_2|Never mind, I don't have time to speak to guards.
str_npc3_intro_response_2|Never mind, I'll make 'racket' elsewhere.
str_npc4_intro_response_2|Excuse me, I have urgent matters elsewhere.
str_npc5_intro_response_2|Excuse me, I have less important people to talk to.
str_npc6_intro_response_2|The feeling is mutual. Goodbye.
str_npc7_intro_response_2|Never mind, I need some fresh air.
str_npc8_intro_response_2|Never mind, we are merely sight-seeing.
str_npc9_intro_response_2|I'll just be on my way then, or my sword arm will start to itch.
str_npc10_intro_response_2|[Ignore and leave]
str_npc11_intro_response_2|Mind your business, maggot!
str_npc12_intro_response_2|Mind your business, maggot!
str_npc13_intro_response_2|Mind your business!
str_npc14_intro_response_2|Mind your business!
str_npc15_intro_response_2|Hmmf. Keep your little claws to yourself, Snaga.
str_npc16_intro_response_2|Mind your business!
str_npc17_intro_response_2|Yes, the woods are lovely, but I've got to run along now.
str_npc1_backstory_a|You come at a difficult time, friend. Ithilien is flooded by enemy scouts and raiders, and some had seen great hosts of orcs on the move. We do try to prevent the foul creatures from crossing the great river and I have led a group of skilled Rangers to many a success. My Captain Faramir is bold and I don't despair of the Shadow hanging over us.
str_npc2_backstory_a|Ah, how graceful to inquire about me. I have been newly assigned as a guard of His Stewardship's hallways, a proud duty, if I may say so, if not very eventful.
str_npc3_backstory_a|Well, my old helmet here is getting smaller by the minute and the ground seems wobbly as if I rode a mischievous foil. Ah, if I only hadn't drank all that ale last night - I normally have a good head for drink, so it must have been some nasty orc brew.
str_npc4_backstory_a|My name is Gálmynë, and I made it my business to know yours, {playername}. Let me explain why.
str_npc5_backstory_a|You may have heard tales of my deeds in battles past and forgotten by mortal Men. In the fullness of time this War is yet another time of danger for the Eldar, but it will be the Last War.
str_npc6_backstory_a|Excuse my brashness, stranger, but we don't have many visitors here and those that come do not look very trustworthy. Only a week ago, this dwarf appeared and... Never mind. My name is Luevanna, of the Silvan Elves of Mirkwood.
str_npc7_backstory_a|Polite of you to ask, {playername}. We are fighting off incursions from Easterlings and Gundabad orcs, but so far nothing we and our Dale allies can't handle.
str_npc8_backstory_a|I'm sure you can find some fine volunteers if you speak to the quartermaster in the barracks. As for me, I'm merely a healer and herbalist of modest skills.
str_npc9_backstory_a|Good for you! They call me Gulm. I have gutted my sergeant and his snaga s now hunt for me.^The worthless piglet had it coming! Once, we got ambushed by a strawheads patrol... and he lost it. 'Fall back' he screams, then flees. Only Gulm and a few others stood firm, and broke their horses charge. Then we bludgeoned the yellow-haired into paste (heh heh heh). But if it wasn't for us strong ones, all would be worm food!
str_npc10_backstory_a|I am Durgash!
str_npc11_backstory_a|Nar! Not a tracker, that's who. They threw me out! I tell you they've lost their heads, that's what it is. Curse 'em! First they say I shoot wild, then I run too slow, and then I have a useless snuffler. Garn! If they don't find a rabble for me soon I'll be for the Black Pits, if what I hear is true. I'll make sure some of those Bosses lose their skins sooner than putting me in there!
str_npc12_backstory_a|I'm in command of a band of lads up here. I'm Gorbag and you'd best learn quick lubber us Uruks are the real bosses 'round here. The Big Bosses makes slips, 'ay, even the Biggest can make mistakes, and always the poor Uruks to put slips right, and small thanks. They don't even tell us all they know, do they? Not by half. Grr!
str_npc13_backstory_a|I? I am a grain of soil from southern sands, blown north by cold and dark night winds. I am Lykyada, a Serpent Lord of Haradwaith. Lord of the Gold Serpent, bane of the Black Serpent Tribe, now allied to serve the will of the Dark Lord.
str_npc14_backstory_a|I am Fuldimir, son of the southern realm of Umbar, south of Harondor, and the Bay of Belfalas, for both are home to my heart and my people. We are the lords of sea and sail, corsairs to some, kin of the Bay of Belfalas for her waters we tame.
str_npc15_backstory_a|I am Bolzog the Gifted, Setter of Bones, Closer of Cuts, and Shaman of Healing. If you go to war for The Eye, you will no doubt have one or other of your little fellows cut about a bit by pale-faced foresters or the horse-lovers. Now, -nar-nar-nar! - Orcs are easy to replace, Oh Great Leader, but can you replace a Warg? A Giant? A Cave Troll? Shi-shi! No! You need me, the Great Bolzog!
str_npc16_backstory_a|Well now, it is the stranger who should declare himself first. Nevertheless, I am Varfang of the Balchoth kin... I can tell that you have not yet heard the songs or tales of my land that speak the name of the Balchoth, for the very name would check your courage and fill your heart with woe.
str_npc17_backstory_a|They call me Dímborn and I work in the woods. It is nice there. I like the woods. Many trees in the woods. I like trees. I've worked in the woods all my life, because I am strong and because I like trees.
