qstr_Received_{reg0}_dama|Utrpel si {reg0} poškodenia.
qstr_Tough_luck_but_we_do|Veľké šťastie, ale mi žiadne nemáme. Vráťte sa neskôr.
qstr_There_are_brave_sold|Sú tam odvážny vojaci pripravení riskovať svoj život, ale v týchto temných časoch im nemôžem dovoliť tunajšie opevnenia.^^^[nedostatok Bodov Zásob]
qstr_We_have_some_spare_t|Máme nejaké zálohy, ale nemôžeme ich plytvať na úkor tvojich cieľov.^^^[nedostatok Bodov Zásob]
qstr_There_are_brave_soldi|Sú tam vojaci pripravený dobrovoľne ísť do boja.^^Myslím, že pár ich s tebou môžem poslať.
qstr_There_are_spare_troo|Máme tu zálohy, ktorým neuškodí trochu si zabojovať.^^Môžem ich niekoľkých s tebou poslať.
qstr_Strenghten_defences_|Posilniť obranu v {s21}? To je veľmi vítané. Môžeme však prijímať len našich vlastných vojakov.
qstr_Strenghten_defences_i|Posilniť obranu v {s21}? Nuž, pokiaľ to nie sú mrzáci, prečo nie. Neprijímame však cudzincov, len svoje vlastné jednotky.
qstr_Please_return_them_i|Vráť ich prosím v jednom kuse. Ja osobne poznáme chrabrosť každého z nich. Potrebujeme tu každú dušu.
qstr_Don_t_let_them_all_d|Nenechaj ich zhynúť na jednom mieste. Okrem zbabelcov. Tých postav do prvých línií - staré dobré vojenské pravidlo.
qstr_Thank_you_commander.|Ďakuje, veliteľ.^
qstr_^{s22}_is_grateful_t|^{s22} je ti vďačný, {s23}, {s29}^
qstr_{s31}{reg28?Those:Th|{s31}{reg28?Títo:Tento} odvážny {reg28?vojaci:vojak} nám určite pomôžu obrániť {s21}.{s32}^^[získavaš {reg14} Bodov Zásob {s14}u]
qstr_{s31}{reg28?Those:Tha|{s31}{reg28?Tieto:Táto} {reg28?jednotky:jednotka} budú užitočne pri obrane {s21}u.{s32}^^[získavaš {reg14} Bodov Zásob {s14}u]
qstr_{s4}_^Oh_and_take_ba|{s4} ^Oh, a zober si späť tých vojakov, čo nepatria k našemu ľudu.
qstr_You_have_reinforced_|Posilnil si obrannú posádku {s8}u o {reg55} jednotiek.
qstr_I_don_t_need_them_an|I tak ich nepotrebujem, nechajte si ich.
qstr_It_is_my_duty_to_pro|Je mojou povinnosťou chrániť náš ľud.
qstr_It_is_my_duty_to_prot|Je mojou povinnosťou chrániť našich spojencov.
qstr_I_am_{s4}_{s15}_of_{|Som {s4}, {s15} z {s6}u
qstr_I_am_{s4}_a_commande|Som {s4}, veliteľ {s6}
qstr_{s9}{reg5?_and_the_r|{s9}{reg5? a panovník {s8}.:.
qstr__{s3}_gained_{reg78}| {s3} získal {reg78} skúseností.
qstr_{playername}_our_sco|{playername}, naši priezkumníci nám zvestovali tvoje víťazstvo. Bodaj by ťa skrz tento deň oslavovali až do tvojich požehnaných rokov. Porážka vojsk z {s7} tvojou rukou spomalila postup nepriateľov. Dúfajme, že v ich šíkoch zavládla neistota a velitelia zakolísali. V ich srdciach si si vyslúžil dôvodný strach. A v neposlednom rade si povzbudil nášho ducha.
qstr_Well_{playername}_yo|Nuž, {playername}, vrátil si sa, a s dobrými správami, zdá sa. Vidím, že ťa neukuli len z chvástov a zhonu - ach, kiežby som bol videl pád {s7} na vlastné oči! Naši nepriatelia sú určite zúfalí a skľúčení. Stratili rozum a pomiatli sa, tým som si takmer istý. Ako sa hovorí, utni hadovi hlavu a je po všetkom. Nuž, teraz musím doviesť svojich mužov k ozajstnému víťazstvu. Tvoja pomoc nebude opomenutá, {playername}, a pripočítaná k tvojím ďalším zásluhám. O to sa neboj.
qstr_Alas_that_I_could_no|Škoda že som nedokázal priviesť {s7} z {s8} k ich koncu, ale pokiaľ sa s nimi ešte niekedy stretneme, neváhajme.
qstr__I_should_rather_mak|Ohlásenie o mojom víťazstve nad {s7} z {s8} by som mal urobiť radšej ja sám - sláva patrí mne a vy na to nezabudnete!
qstr_Very_well_done_{play|Výborná práca, {playername}! Chytil si špeha i jeho navádzača, presne ako som dúfal. Tento párik teraz trčí v cele čakajúc na výsluch. Budú nám musieť vysvetliť niekoľko vecičiek. Tak či onak, som nadmieru spokojný s tvojím úspechom, {playername}. Dám ti tento mešec ako znak môjho uznania.
qstr_Beautiful_work_{play|Vynikajúca práca, {playername}! Zajal si špeha i jeho navádzača, presne podľa rozkazu, a tí dvaja teraz trčia dôkladne uväznení v žalári, čakajúc na výsluch. Môj mučiteľ bude dnes večer zaneprázdnený! Tak či onak, som nadmieru spokojný s tvojím úspechom, {playername}. Dám ti tento mešec na znak môjho uznania.
qstr_Foiling_the_enemy_s_|Prekazenie nepriateľských útokov na utečenecké davy oslabilo sily tvojich protivníkov ({s1} stratil {reg19} bodov sily frakcie vďaka tvojmu víťazstvu nad {reg18} nájazdníkmi).
qstr_The_slaughter_and_lo|Vybíjanie, prepadávanie a vykorisťovanie utečeneckých davov posilnilo nepriateľské rady ({s1} získal 50 bodov frakčnej sily).
qstr_You_did_however_defe|Avšak ty si pobil {reg18} nájazdníkov, čo oslabilo nepriateľské sily ({s1} stratil {reg19} bodov frakčnej sily).
qstr_The_slaughter_and_loo|Vybíjanie, prepadávanie a vykorisťovanie utečeneckých davov posilnilo nepriateľské rady ({s1} získal {reg20} bodov frakčnej sily).
qstr_Killing_the_refugees|Vybíjanie utečencov z {s1}u a zotročovanie preživších oslabilo ducha ich ľudu ({s1} stratil {reg19} bodov frakčnej sily).
qstr_{reg20}_refugee_trai|{reg20} davom utečencov sa podarilo uniknúť a to posilnilo nepriateľského ducha ({s1} získal {reg22} bodov frakčnej sily).
qstr_You_did_however_defea|Avšak ty si pobil {reg18} davov utečencov, čo oslabilo ducha tvojich nepriateľov ({s1} stratil {reg19} bodov frakčnej sily).
qstr_My_lord_{s12}_is_saf|Môj pane, {s12} je v mimo ohrozenie. Korzári sú porazení.
qstr_My_lord_Esgaroth_is_|Môj pane, Esgaroth je v mimo ohrozenie. Bojovníci z kmeňa Rhûn sú porazení.
qstr_The_surroundings_of_|Podhradie {s12} je v plameňoch. Drancovačka sa podarila.
qstr_The_surroundings_of_E|Okolie Esgarothu je v plameňoch. Drancovačka sa podarila.
qstr_This_is_welcome_news|To sú úžasné správy, {playername}. Na útok tohoto rozsahu od Korzárov sme neboli pripravení. Ale vďaka tebe sme nakoniec čierne vlajky zahnali späť, ďaleko na morské vody, teda aspoň na čas. Dúfajme, že sme im dnes uštedrili drvivú porážku. Máš našu vďaku.
qstr__Good_work_{playerna|Skvelá práca, {playername}! Preukázali väčšiu chytrosť, než sme im pripisovali, uznávam. Východniari nebojujú ani spolovice tak dobre na palube svojich lodí než na konských chrbtoch, zdá sa. Možno by sme mali zvážiť vybudovanie vlastnej flotily... Tak či onak, patrí ti naša vďaka, {playername}, vďaka Esgarothu i všetkého ľudu Dalského.
qstr_Even_from_here_we_co|Dokonca až odtiaľ sme zočili plamene a vyňuchali strach nepriateľov pri tom strete! Viedol si si bravúrne, {playername}. Zasial si strach do ľudských srdcí a teraz už každý muž, žena i dieťa v Gondore vie, že ich pred nami neochránia ani tie najskvelejšie pevnosti!
qstr_Even_from_here_we_cou|Dokonca až odtiaľ sme zočili plamene a vyňuchali strach nepriateľov pri tom strete! Viedol si si bravúrne, {playername}. Zasial si strach do ľudských srdcí a teraz už každý Dálsky muž, žena i dieťa vie, že ich pred nami neochránia ani tie najskvelejšie pevnosti!
qstr_My_lord_they_fell_up|Môj pane, čelili sme ohromnému útoku. Nemohli sme Korzárov odraziť.
qstr_My_lord_they_fell_upo|Môj pane, čelili sme ohromnému útoku. Nemohli sme bojovníkov z kmeňa Rhûn nijako odraziť.
qstr_The_raid_on_{s12}_fa|Nájazd na {s12} sa nepodaril a to kvôli neschopnosti našich spojencov!
qstr_This_raid_was_ill_fa|Zlyhanie nájazdu bolo jasné už od začiatku. Nikdy sme sa nemali nalodiť na hentie rozhegané vory.
qstr_This_is_evil_news_yo|Neblahé správy prinášaš. Tí, čo sa plavia pod čiernymi plachtami nadobudli istotu a odvahu a celý Belfalas teraz spočíva v ich tieni. Nebudem ťa za tvoj neúspech zbytočne kárať, {playername}, ale utrpeli sme drtivý zásah, veru drtivý. Choď už. Nádej Gondoru sa deň odo dňa stráca a my za ňu musíme bojovať.
qstr_This_is_evil_news_you|Neblahé správy prinášaš. Východniari nabrali druhý dych a Esgaroth je v plameňoch. Nebudem ťa kárať za tvoje zlyhanie, {playername}, ale utrpeli sme drtivý zásah, veru drtivý. Nádej nášho kráľovstva stojí na vážkach a my za ňu musíme bojovať.
qstr_Pah!_It_seems_you_we|Phe! Vyzerá to, že ti plavba nebola bárs po chuti, {playername}. A teraz sedia tí muži gondorskí vysoko vo svojich vežiach samoľúbo jak králi, rehocú sa na úkor čiernych plachiet v plameňoch! Možno lopota u vesiel na galére by bola hodiacim sa trestom pre tvojich mužov; škoda, že podliehajú tvojim povelom. Oko nebude potešené. Teraz odíď.
qstr_Have_you_nothing_bet|Nemáš nič iné než len chabé výhovorky na omluvu tvojho zlyhania, {playername}? Možno nie si tak silný, jak sme si mysleli. Nabudúce nám poslúž lepšie, {playername}. Pre slabých niet zľutovania!
qstr_{playername}_we_have|{playername}, Isengard melie z posledného. Posledný krát sa nám postavili na odpor, aby ochránili Sarumana v jeho veži. Vpadnime do ich šíkov spoločne!
qstr_Are_you_ready_to_mee|Pripravený čeliť poslednému odporu Sarumana?
qstr_I_am_ready_to_ride_w|Som pripravený vyjsť im v ústrety Isengardu po tvojom boku.
qstr_I_am_ready_to_ride_wi|Som pripravený na ľúty boj po tvojom boku. Skoncujme to s nimi.
qstr_I_am_not_ready_to_ri|Ešte nie som úplne pripravený. Potrebujem trochu viac času.
qstr_You_do_not_have_enou|Nemáš dostatok jednotiek, aby si mi pomohol. Naverbuj ich aspoň 30 a čo najrýchlejšie spojme naše sily!
qstr_Stay_close_we_will_t|Zostaň nablízku, utáboríme sa neďaleko nepriateľa. Keď zhromaždíme všetky naše sily, udrieme.
qstr_You_have_taken_too_l|Trvalo ti to príliš dlho... Stretneme sa s nimi na bojovom poli, a to či s tebou alebo bez teba. Utáboríme sa neďaleko nepriateľa a v tomto čase za 3 dni zatrúbime na bojové rohy.
qstr_Make_haste_{playerna|Ponáhľaj sa, {playername}. Nemôžeme ich nechať obnoviť svoje sily.
qstr_Your_mission_is_comp|Tvoja úloha je splnená, {s9} požaduje, aby si neodkladne následoval jeho armádu.
qstr_{s13}_asked_you_to_g|{s13} ťa požiadal, aby si shromáždil {reg3} jednotiek {s4} a odviesť ich k nemu.
qstr_Moreover_should_you_|Naviac sa stávaš {s24}. Budeš mať miesto v mojej Vojnovej rade, kde môžeš konať rozhodnutia, ktoré ovplyvnia postup nášho ťaženia. Nateraz, ako {s25}, nás následuj a drž sa nablízku. Onedlho vyrazíme.
qstr_For_the_moment_just_|Nateraz nás následuj a drž sa pri nás. Onedlho vyrazíme.
qstr_{s9}_asked_you_to_sc|{s9} ťa požiadal, aby si preskúmal {s13}, {s14} a {s15}. Potom sa máš k nemu vrátiť. 
qstr_You_have_been_most_h|Bol si veľmi užitočný, {playername}. Som ti vďačný.
qstr_You_are_a_good_serva|Si dobrým služobníkom, {playername}. Len tak ďalej.
qstr_Superb_work_{playern|Vynikajúca práca, {playername}. Vážim si tvoju precíznosť. 
qstr_Your_efficiency_is_p|Cením si tvojej zdatnosti, {playername}. Len tak ďalej a dostaneš sa ďaleko.
qstr_It_was_an_honour_to_|Bolo pre mňa cťou slúžiť.
qstr_Your_wish_is_my_comm|Tvoje prianie je mi rozkazom.
qstr_Sauron_in_Mordor_the|Sauronom v Mordore, Korzármi z Umbaru, Varjagmi z Khandu, a Haradskými kmeňmi
qstr_Saruman_in_Isengard_|Sarumanom v Isengarde a Divochmi z Vrchoviny
qstr_Orcs_of_Moria_and_Do|Ohyzdmi z Morie a Dol Guldúru
qstr_Orcs_of_Gundabad_and|Ohyzdmi z Gundabadu a Koniarmi z Rhunu
qstr_Men_of_Gondor|Ľuďmi z Gondoru
qstr_Riders_of_Rohan|Rohanskí jazdci
qstr_Elves_of_Imladris_an|Elfmi z Imladrisu a Lothlorienu
qstr_Men_of_Dale_Dwarves_|Ľuďmi z Dolu, Trpaslíkmi z Ereboru, rodovcami Grizla a Elfmi z Temnohvozdu
qstr_Ah_{playername}_it_i|Ah, {playername}, som rád, že prichádzaš. Vojna je na spadnutie a po mužoch schopných držať meč a ochotných plniť svoje prísahy je zhánka.^^Sme vo vojne s {s11}, ale musíme zhromáždiť svoje sily a oslabiť nepriateľa pred tým, než budeme môcť dobývať pevnosti a strategické body. Každá porážka našich protivníkov prispeje našej veci a priblíži nás k víťazstvu. Verím, že im výjdeš v ústrety každý raz, čo ich zočíš, či už to bude len obyčajná tlupa zvedov alebo celá vojnová družina. Avšak nevpadaj do ich radov sám, bojuj tiež po boku našich statočných veliteľov a spojencov.
qstr_About_time_you_showe|Doteperil si sa práve včas, {playername}. Sme vo vojne a ja nebudem trpieť žiadne spurné výstrely. Bojujeme proti {s11}, ale musíme zhromáždiť naše sily a rozdrviť nepriateľov na bojovom poli než si budeme môcť zgustnúť na ich pevnostiach. Každé víťazstvo nad nimi je krokom k ich zhube a nášmu víťazstvu. Takže dúfam, že ak na teba narazia, či už to bude len cháska zvedov alebo i celá vojnová družina, budú o hlavu kratší. Taktiež pomôž našim veliteľom a spojenco, ak ich uvidíš zápoliť. Sklam ich a ja sa to dozviem.
qstr_we_are_fighting_agai|Vedieme vojnu proti {s13}
qstr_we_are_not_fighting_|momentálne s nikým nebojujeme
qstr__{s14}_gained_{reg78|{s14} získal {reg78} skúseností.
qstr_Oh?_Let_me_see_that.|Oh? Ukáž mi ho.. Výborne! Je dobre, že si mi ho doručil, {playername}. Tuto, moja pečať ako dôkaz že som dopis obdržal, pozdravuj {s9} keď sa znova stretnete.
qstr_Give_me_that!_Hrmph!|Daj to sem! Hrmph! Je dobré, že si mi ho doručil, {playername}, si užitočným služobníkom. Povedz {s9}, aby ti udeľoval prácu častejšie.
qstr_What?_Let_me_see_tha|Čo je? Ukáž mi ho... Hmmm. Veľmi dobre, že si mi ho priniesol, {playername}. A teraz zmizni.
qstr_Give_me_that!_Hrmph!_|Daj to sem! Hrmph! Tvojím pánom slúžiš dobre, {palyername}, ale zanedlho budete všetci mrtví. Ale nie teraz, takže sa odtiaľ odprac.
qstr_My_king|Môj kráľ
qstr_Lord|Lord
qstr_my_king|môj kráľ
qstr_lord|lord
qstr_our|náš
qstr_your|tvoj
qstr_Moria_and_Gundabad|Moria a Gundabad
qstr_Moria|Mória
qstr_Gundabad|Gundabad
qstr_You_swear_an_oath_of|Skladáš prísahu pomsty proti {s3}. Od tejto chvíle musíš zabiť toľko ohyzdov z Morie a Dol Guldúru, koľko zvládneš v nadchádzajúcich dňoch. Si si vedomý toho, že tvoji spoločníci sú svedkami prísahy a ty nechceš byť známy ako krivoprísažník. Sfarbi potoky a zmoč pôdu ich krvou!^.
qstr_The_search_for_the_L|Pátranie po Stratených Kopijach ťa zaviedlo do Dorwinionu, súčasti pradávného severského kráľovstva Kráľa Bladorthina. POKRAČOVANIE NABUDÚCE
qstr__You_need_to_be_{s24|(Potrebuješ mať hodnosť {s24} alebo vyššiu).
qstr_You_are_not_worthy_o|Nie si hoden mojich schopností. Najprv sa osvedč a nadobudni hodnosť vyššiu než {s25}. {s2}
qstr_I_am_sorry._I_cannot|Je mi ľúto. Nemôžem ťa prijať s hodnosťou {s25}, pretože ma ťažia naliehavejšie povinnost. {s2}
qstr_Yes_I_am_and_I_can_h|Áno, to som a môžem ti pomôcť za istú cenu.
qstr_You_heard_right_and_|Počul si dobre a áno, môžem ti pomôcť.
qstr__Costs_1000_Resource|(Stojí 1000 Bod. Zásob, 5 Bod. Vplyvu)
qstr_I_can_see_that._I_ll|Chápem. Postavím svojich mužov na stráž zatiaľ čo s tebou budem zjednávať. Chvíľu to zabere. {s2}
qstr_Yes_I_see_that._I_ca|Áno, vidím to. Môžem ťa ošetriť, to áno, ale bude ma to stáť čas, ktorý som zamýšľal venovať iným povinnostiam. {s2}
qstr__Costs_1500_Resource|(Stojí 1500 Bod. Zásob, 10 Bod. Vplyvu)
qstr_I_ll_have_my_persona|Pošlem za tebou svojich najzručnejších ránhojičov. Sú jedni z najlepších. Povedz, kedy ich mám sem zavolať. {s2}
qstr_I_ll_have_my_personal|Zašlem za tvojimi mužmi svojich osobných felčiarov. Sú jedni z najschopnejších vo svojom remesle. Daj mi vedieť keď ich budeš potrebovať. {s2}
qstr_I_ll_have_them_here_|Za chvíľu ich privediem.
qstr_Let_us_begin._My_hea|Začnime. Moji liečitelia sa o teba a tvojich mužov postarajú.
qstr_Alright!_This_is_goi|Dobre! Toto bude... veľmi bolieť.
qstr_Let_us_begin._It_may|Začnime. Môže to chvíľu trvať. Proste sa uvoľni a zbytok prenechaj mne.
qstr_Impressive..._You_di|Pôsobivé... Ani si so sebou príliš necukal. Vrát sa na svoje postavenie.
qstr_Rest_the_wounds_have|Odpočívaj, rany sú ošetrené.
qstr_Your_party_must_be_a|Tvoja družina musí mať aspoň 30 členov, aby si mohol započať túto úlohu.
qstr_You_were_tasked_to_h|Prijal si úlohu na dolapenie banditov, ktorý nedávno pustošili Sever. Môžeš na nich zaútočiť buď v ich skrýši neďaleko Temnohvozdu, alebo ich prekvapiť v Grizlovom panstve.
qstr_Mordor_gains_Faction|Mordor nadobudol Silu Frakcie v dôsledku získania neznámej zbrane
qstr_Beornings_gain_Facti|Frakčná sila Grizlovcov sa zvýšila vďaka správam o tvojom víťazstve.
qstr_Beornings_lose_Facti|Grizlovci stratili Silu Frakcie, pretože boli napadnutí.
qstr__{s14}_gains_faction|Frakčná sila {s14}u sa zvýšila vďaka stále šíriacim sa správam o Prsteni Moci.
qstr_You_must_return_and_|Musíš sa vrátiť a nahlásiť, že si porazil vodcov Lovcov Prsteňa a získal magický prsteň.
qstr_You_must_return_and_r|Musíš sa vrátiť a nahlásiť, že si porazil družinu Lovcov Prsteňa, ale ich vodcovia získali to, čo hľadali.
qstr_Do_you_need_reinforc|Potrebujete posily?
qstr_You_don_t_look_too_s|Nevyzeráte veľmi mocne, nepotrebujete nejakých mužov?
qstr_^{s14}_is_grateful_t|^{s14} je ti vďačný, {playername}, {s29}^
qstr_{s31}{reg28?Those:That|{s31}{reg28?Títo:Tento} odvážni {reg28?vojaci:vojak} sa nám určite bude hodiť pri obrane našich zemí.{s32}^^[získavaš {reg14} Bodov Zásob {s14}u]
qstr_{s31}{reg28?Those:That}|{s31}{reg28?Tieto:Táto} {reg28?jednotky:jednotka} budú užitoční pri pustošení.{s32}^^[získavaš {reg14} Bodov Zásob {s14}]
qstr_{s4}_^Oh_and_take_bac|{s4} ^Oh, a zober si späť tých vojakov, ktorý nepatria medzi náš ľud. Nemám pre nich uplatnenia.
qstr_It_is_my_duty_to_hel|Je mojou povinnosťou pomáhať našemu ľudu.
qstr_It_is_my_duty_to_help|Je mojou povinnosťou pomáhať naším spojencom.
qstr_{s31}__Consumable._C|{s31} (Spotrebiteľné. Môže byť kúpené znovu)
qstr_{s31}__Can_be_reboug|{s31} (Môže byť kúpené znovu)
qstr_I_wish_to_raze_an_en|Chcem zrovnať nepriateľskú pevnosť so zemou.
qstr_I_wish_to_lead_our_m|Chcem viesť našich mužov a dobyť nepriateľskú pevnosť.
qstr_More_snaga_who_will_|Viac zmokov, čo by sa vrhlo na hradby nepriateľa? Načúvajte a možno vás nechám.
qstr_Indeed?_Few_men_are_|Naozaj? Niekoľkí muži sa chvatne prihlásili k smrti na cimburí. Musíme toho ešte veľa prejednať, než ti dám zvolenie odísť
qstr_Indeed?_That_is_no_s|Naozaj? To nie je drobný záväzok a sú tu veci, ktoré musíme prejednať predtým, než ti dám zvolenie odísť.
qstr_First_sieges_are_onl|Zaprvé, obliehania sú len pre najschopnejších a najsilnejších! Musíš sa postarať o toto:
qstr_Here_is_all_that_nee|Musíš zariadiť toto:
qstr_Firstly_we_must_thin|Najprv musíme zvážiť požiadavky tejto úlohy:
qstr_You_need_sharp_weapo|Potrebuješ ostré zbrane, čerstvé mäso pre tvoje jednotky a vrokov, drevo na táboráky, brčku, aby slabosi zvládali otročiť. Tiež potrebuješ tie krysy udržať ukáznené, inak sa začnú navzájom zabíjať ešte pred tým, než vôbec dôjdeš k hradbám. Sme zaneprázdnení bojmi na vlastných frontoch než aby sme sa starali o tvoju holotu - buď pripravený zaobstarať všetko, aby sa všivač hýbala a poslúchala. ^[vyžaduje {reg3} Bodov Zásob, {reg15} Bodov Vplyvu]
qstr_Steel_must_be_kept_s|Čepele nech sú ostré, muži a kone nakŕmení, ohne udržiavané, voda prichystaná, zranenia ošetrované - ty ani tvoji muži nám nebudete k ničomu ak nevydržíte ťaženie. Už teraz toho máme pomálu, takže budeš musieť byť schopný poskytnúť potrebné zásoby, aby si udržal vojsko pripravené aj behom obliehania.^[vyžaduje {reg3} Bodov Zásob, {reg15} Bodov Vplyvu]
qstr_Steel_must_be_kept_sh|Čepele nech sú ostré, muži a kone nakŕmení, ohne udržiavané, voda prichystaná, zranenia ošetrované - to je boj menej oslavný no nemej dôležitý, než ten, ktorý zvedieš na hradbách. Už teraz toho máme pomálu, takže budeš musieť byť schopný poskytnúť potrebné zásoby, aby si udržal vojsko pripravené aj behom obliehania.^[vyžaduje {reg3} Bodov Zásob, {reg15} Bodov Vplyvu]
qstr_Next_if_you_try_to_a|Nabudúce, keď sa pokúsiš dobyť ich hlavnú pevnosť, ťa ja sám zapíchnem, ak už nebudeš mŕtvy... Pochodujeme len tam, kam Pán prikáže. A to je tam, kde je nepriateľ slabý a je ľahké ho premôcť.
qstr_Secondly_you_do_not_|Za druhé, nemáš povolenie viesť naše sily proti hlavnej pevnosti nepriateľa. Tie padnú, len ak zhromáždime a zjednotíme všetky naše sily. Lepšie urobíš, keď nepriateľa dorazíš tam, kde utrpel drtivý zásah a je oslabený.
qstr_Third_{s2}_is_on_its|Po tretie, {s2} stojí čele svojho vlastného ťaženia. Podporíme ťa, ak sa tvoje uváženie bude javiť správne a múdre, no inak sa spoľahni hlavne sa seba, v opačnom prípade dlho nevydržíš.
qstr_Furthermore_you_must|A naviac by si mal vedieť, že {s2} teraz vedie svoje vlastné ťaženie. Naše prapory ťa odprevadia do boja, ak tomu bude veštiť jeho priaznivý koniec, ale príliš nedúfaj - rovnako môžeš ostať na bojovom poli úplne sám.
qstr_Last_remember_that_a|A konečne, pamätaj že ako {s25}, Pán nemá čas ani trpezlivosť na zlyhania. V stávke je príliš mnoho pre {s2}, ak bojuješ - priveď nám porážku a mi zariadíme, aby si žobronil o smrť.
qstr_Finally_remember_tha|A konečne, pamätaj že ako {s25} žiješ a umrieraš svojimi víťazstva a porážkami. V stávke pre {s2} je príliš mnoho, keď si na bojovom poli - priveď skázu a dôsledku budu veľmi, veľmi vážne.
qstr_Finally_remember_that|A konečne, pamätak, že ako {s25} sa môžeš kúpať vo svojom ťažko vydobitom víťazstve a chvástať sa ním, ale všetči, ktorých domovom je {s2}, doplatia na tvoju porážku. Vo chvíľach, kedy mieriš v ústrety nepriateľským šíkom, ti na ramenách spočíva osud {s2} - priveď skázu a následky budú veľmi závažné.
qstr_Still_think_you_can_|Stále si myslíš, že to zvládneš?
qstr_Knowing_what_I_have_|S vedomím toho, čo si počul, stále sa cítiš byť schopný?
qstr_Knowing_what_I_have_t|S vedomím toho, čo si počul, stále si to praješ?
qstr_Give_me_the_banner_o|Daj mi prapor Pána!
qstr_Yes_my_lord._Let_me_|Áno, môj pane. Daj mi zvolenie niesť náš prapor do bitiek.
qstr_The_people_of_{s3}_t|Ľud {s3}u je ti vďačný za tvoj dar {playername}. Na oplátku za tvoj dar z {s1}u, pošleme ľudu {s4}u dar {s2}. Ešte raz ti ďakujem, {playername}.
qstr_I_want_to_deliver_a_|Chcel by som naším spojencom poslať dar.
qstr_delivering_a_gift|doručuješ dar
qstr_I_want_to_bring_a_br|Chcem naším spojencom poskytnúť úplatok.
qstr_delivering_a_bribe|doručuješ úplatok
qstr_{s2}_[{reg14}_Resour|{s2} [{reg14} Bodov Zásob]
qstr_Gift|Dar
qstr_You_have_requested_t|Požiadal si, aby si mohol doručiť dar z {s1}u do {s3}u od {s2}a. Ľud {s3}u si toho bude určite ceniť.
qstr_Bribe|Úplatok
qstr_You_have_requested_to|Dostal si žiadosť, aby si doručil úplatok z {s1}u do {s3}u od {s2}a. Možno za to dostaneš nejakú odmenu.
qstr_{reg3}_hours.|{reg3} hodín.
qstr_hour.|hodina.
qstr_Taking_{reg0}_inf._A|Branie {reg0} inf. Alt?={reg1}
qstr_You_spent_{reg0}_of_|Použil si {reg0} bodov tvojho vplyvu v {s1}e, pričom ti ostáva {reg1} bodov.
qstr_The_War_is_over_{pla|Vojna skončila, {playername}, vážne si o tom nepočul?
qstr_We_are_at_war_with_{|Sme vo vojne s {s12}. Ale bojujeme hlavne s {s13}.
qstr_We_are_at_war_with_{s|Sme vo vojne s {s12}. Ale momentálne dochádza len k potyčkám.
qstr_we_are_not_too_conce|momentálne sa s nimi veľmi nezaoberáme, pretože bojujeme s nepriateľmi, ktorý sú bližšie k našej domovine
qstr__under_your_orders|, pod tvojím velením
qstr_{playername}_you_may|{playername}, možno si uzrel družiny z {s7}. Zo všetkých veliteľov osnujúcich proti nám, v súčasnosti získali najäčšiu slávu {s7} z {s8}u. Už iba ich prítomnosť na bojovom poli stačí na to, aby nalomila odvahu našich spojencov a posílila ducha nepriateľov. {playername}, pokiaľ prahneš po tom vykonať veľké činy v tejto vojne, daj okúsiť porážku družine {s7} v ľútej bitke na očiach všetkých! Tak vzkriesime našu nádej a hrôza ovládne srdcia tých, čo proti nám zdvihli meče.
qstr_Do_you_mark_how_our_|Už si psozoroval, ako sa i naši najnebojácnejší bojovníci rozochvejú pri prostej zmienky o {s7} z {s8}u? Veľký bojovník, o áno, schopný to veliteľ. Nemôžeme to takto nechať! Všade, kde sa ich ksichty zjavia naše šíky ustupujú a protivníci smelosť nadobudnú. Je treba to zastaviť. Poverujem ťa, {playername}, aby si vyzval a zamordoval vojakov z {s7} v otvorenej bitke. Pri pohľade na porážku {s7} tebou stuhne jeho následovníkom krv v žilách a naši muži uvidia na vlastné okále, že môžu dať nepriateľom okúsiť chuť ich vlastnej krvi.
qstr_This_is_a_chance_for|Toto je príležitosť ukázať moje vlohy. Porazím {s7} pred zrakom našich i sokov.
qstr_Accursed_be_those_wh|Beda tým, čo následujú {s7} v tento deň, lebo ja pobijem ich pred na zraku všetkých!.
qstr_{s9}_wants_you_to_de|{s9} chce, aby si porazil {s35} z {s36} v boji.
qstr_I_humbly_ask_that_yo|Pokorne vás žiadam, aby ste našli pre túto úlohu iného. Nemyslím si, že by som dokázal poraziť {s7} v boji.
qstr_Mercy_I_crave!_To_fa|Milosť, milosť! Postaviť sa {s7} v otvorenom boji je číre bláznostvo! Nedokážem to!
qstr_strong_warriors_from|silní bojovníci z {s7}
qstr_champions_from_{s7}_|majstri z {s7}, najsilnejší v poli
qstr_{playername}_the_men|{playername}, muži začuli príbehy o nebojácnych nepriateľoch. Oslabujú ich ducha. Chcem, aby si ukázal mužom, že sa nemajú čoho báť. Vyzvy a poraz {reg22} {s6}.
; qstr_{playername}_I_want_|{playername}, I want you to show the men that enemy troops are of no consequence. I want you to personally slay {reg22} {s6}! Do this to show we are the superior force!
qstr_I_will_do_what_you_a|Vykonám čo žiadaš a muži toho budú svedkom.
qstr_high_level_troops_fr|jednotky vysokej úrovne z
qstr_elite_level_troops_f|jednotky elitnej úrovne z
qstr_{s9}_wants_you_to_pe|{s9} chce, aby si osobne zabil {reg22} {s6} {s7}.
qstr_I_want_you_to_person|Chcem, aby si osobne zabil
qstr_I_want_you_and_your_|Chcem, aby si so svojimi mužmi zabil
