qstr_Received_{reg0}_dama|Recibes {reg0} de daño.
qstr_I_am_sorry_no_one_el|Lo siento, pero nadie más está listo para irse.^Servirán a {s22} manteniendo nuesras defensas aquí.
qstr_Tough_luck_but_we_do|Mala suerte, no tenemos a nadie. Vuelve más tarde.
qstr_There_are_brave_sold|Hay soldados valientes dispuestos a arriesgar su vida, pero en estos tiempos oscuros no podemos permitirnos debilitar nuestras defensas.^^^[No hay suficientes Puntos de Recursos]
qstr_We_have_some_spare_t|Tenemos algunas tropas en reserva, pero no podemos permitirnos el lujo de perderlas para dárselas a alguien como tú. [no hay suficientes Puntos de Recursos]
qstr_There_are_brave_soldi|Tenemos aqui´varios soldados valientes que se presentan voluntarios para el servicio de campo.^^Creo que puedo dejar que algunos de ellos te acompañen.
qstr_There_are_spare_troo|Hay tropas en reserva aquí a las que no les importaría derramar un poco de sangre.^^Puedo dejar que algunas de ellas te acompañen.
qstr_Strenghten_defences_|¿Fortalecer las defensas de {s21}? Claro, toda ayuda es bienvenida. Pero ten en cuenta que sólo podemos aceptar a soldados de nuestra propia gente.
qstr_Strenghten_defences_i|¿Fortalecer las defensas de {s21}? Bueno, mientras no estén lisiados, ¿por qué no? Pero asegúrate de que nos dejas a tropas de las nuestras, ya que aquí no nos interesan los forasteros.
qstr_Please_return_them_i|Por favor, procura que vuelvan de una pieza. Conozco el valor de cada uno de ellos, y aquí necesitamos a todos y cada uno.
qstr_Don_t_let_them_all_d|No permitas que mueran todos a la vez. Excepto los cobardes. A ésos ponlos en primera fila, ya sabes cómo va esto.
qstr_Thank_you_commander.|Gracias, capitán.^
qstr_^{s22}_is_grateful_t|^{s22} te está agradecido, {s23}, {s29}^
qstr_{s31}{reg28?Those:Th|{s31}{reg28?Esos bravos:Ese bravo} {reg28?soldados serán:soldado será} sin duda una gran ayuda en la defensa de {s21}.{s32}^^[ganas {reg14} Puntos de Recursos de {s14}]
qstr_{s31}{reg28?Those:Tha|{s31}{reg28?Esos soldados:Ese soldado} {reg28?serán útiles:será útil} para ayudarnos a mantener el control de {s21}.{s32}^^[ganas {reg14} Puntos de Recursos de {s14}]
qstr_{s4}_^Oh_and_take_ba|{s4} ^Ah, y llévate de vuelta a esos soldados, que no son de los nuestros.
qstr_You_have_reinforced_|Has reforzado {s8} con {reg55} tropas.
qstr_I_don_t_need_them_an|No los necesito de todas formas, son tuyos.
qstr_It_is_my_duty_to_pro|Es mi deber proteger a nuestro pueblo.
qstr_It_is_my_duty_to_prot|Es mi deber proteger a nuestros aliados.
qstr_I_am_{s4}_{s15}_of_{|Soy {s4}, {s15} de {s6}
qstr_I_am_{s4}_a_commande|Soy {s4}, capitán de {s6}
qstr_{s9}{reg5?_and_the_r|{s9}{reg5? y gobierno sobre {s8}.:.
qstr__{s3}_gained_{reg78}|{s3} ha ganado {reg78} puntos de experiencia.
qstr_{playername}_our_sco|Las buenas nuevas te preceden, {playername}. ¡Ojalá la vida te conceda cien años de bendiciones a partir de este día! Tu victoria ha hecho retoceder a as huestes de {s7}, desbaratando los avamces del enemigo. Esperamos que ahora sus tropas y capitanes actúen con más cautela. ¡Y que empiecen a temer tu nombre! Por lo menos nos has concedido un breve respiro en medio de tantas fatigas.
qstr_Well_{playername}_yo|Bueno, {playername}, has regresado, y con buenas noticias, al parecer. Ahora veo que no eres todo bravuconadas. ¡Ah, ojalá hubiera estado allí para ver a {s7} caer ante ti con mis propios ojos! No cabe duda de que nuestros enemigos deben de estar terriblemente desmoralizados. Han perdido la cabeza, seguro. Como se suele decir, corta la cabeza de la serpiente, y la cosa está hecha. Bueno, ahora me toca a mí llevar a mis hueste a la victoria que realmente importa. Quedará constancia de tu contribución, {playername}, al esfuerzo de tus superiores. No temas.
qstr_Alas_that_I_could_no|Por desgracia, no pude acabar con {s7} de {s8} de una vez por todas, pero si volvemos a encontrarnos, más vale que se ande con cuidado.
qstr__I_should_rather_mak|Debería ser yo {mismo/misma} quien informara de mi victoria sobre {s7} de {s8}. ¡Mía es la gloria, no lo olvides!
qstr_Very_well_done_{play|¡Muy bien hecho, {playername}! Has capturado a ambos, el espía y su contacto, tal y como esperaba, y ambos están ahora bajo llave, esperando a ser interrogados. ¡Tendrán que darnos alguna explicación ahora!. De cualquier modo, estoy muy satisfecho con los resultados, {playername}, y te doy esta bolsa como una muestra de aprecio.
qstr_Beautiful_work_{play|¡Un trabajo excelente, {playername}! Has capturado a ambos, al espía y a su contacto, tal y como se te dijo, y ambos se encuentran enjaulados en mi mazmorra, esperando para ser interrogados. ¡Mi torturador estará ocupado esta noche!. Pero bueno, me satisfacen los resultados, {playername}, y quiero ofrecerte esta bolsa como muestra de mi aprecio.
qstr_Foiling_the_enemy_s_|Frustrar los intentos enemigos de atacar a las caravanas de refugiados ha debilitado su determinación (la fuerza de facción de {s1} ha disminuido en {reg19} puntos, gracias a tu victoria sobre {reg18} incursores).
qstr_The_slaughter_and_lo|La matanza y saqueo de la caravana de refugiados ha fortalecido al enemigo (la fuerza de facción de {s1} ha aumentado en 50 puntos).
qstr_You_did_however_defe|Sin embargo, lograste derrotar a {reg18} incursores, debilitando la determinación del enemigo (la fuerza de facción de {s1} ha disminuido en {reg19} puntos).
qstr_The_slaughter_and_loo|La matanza y saqueo de la caravana de refugiados ha fortalecido al enemigo (la fuerza de facción de {s1} ha aumentado en {reg20} puntos).
qstr_Killing_the_refugees|Matar a los refugiados de {s1} y esclavizar a los supervivientes ha desmoralizado a sus gentes (la fuerza de facción de {s1} ha disminuido en {reg19} puntos).
qstr_{reg20}_refugee_trai|{reg20} caravanas de refugiados han escapado y han fortalecido la moral del enemigo (la fuerza de facción de {s1} ha aumentado en {reg22} puntos).
qstr_You_did_however_defea|Sin embargo, lograste derrotar a {reg18} caravanas de refugiados, debiiitando la determinación del enemigo (la fuerza de facción de {s1} ha disminuido en {reg19} puntos).
qstr_My_lord_{s12}_is_saf|Mi señor, {s12} está a salvo. Los Corsarios han sido derrotados.
qstr_My_lord_Esgaroth_is_|Mi señor, Esgaroth está a salvo. Los Hombres de Rhûn han sido derrotados.
qstr_The_surroundings_of_|Los alrededores de {s12} están en llamas. ¡El pillaje ha sido en verdad glorioso!
qstr_The_surroundings_of_E|Los alrededores de Esgaroth están en llamas. ¡El pillaje ha sido en verdad glorioso!
qstr_This_is_welcome_news|En verdad, esas son buenas noticias, {playername}. No estábamos preparados para una acción tan osada por parte de los Corsarios. Pero gracias a ti, las velas negras han sido rechazadas, al menos por un tiempo, y al menos nos queda la esperanza de haberles asestado un duro golpe. Tienes nuestro más sincero agradecimiento.
qstr__Good_work_{playerna|¡Buen trabajo, {playername}! Han demostrado ser más astutos de lo que creíamos, lo admito. ¡Pero parece que esos Hombres del Este no luchan con tanta destreza a bordo de sus barcos como a lomos de sus caballos! Puede que nosotros también debamos pensar en formar nuestra propia flota... En cualquier caso, te damos las gracias, {playername}, en nombre de Esgaroth y de todo el pueblo de Valle.
qstr_Even_from_here_we_co|¡Incluso desde aquí, hemos visto las llamas y hemos olido la desesperación de nuestros enemigos en el viento! Has hecho un trabajo espléndido, {playername}. ¡Ahora dejemos que el terror se apodere del corazón de cada hombre, mujer y niño de Gondor, pues saben que ni siquiera su más formidables fortalezas escapan a nuestro alcance!
qstr_Even_from_here_we_cou|¡Incluso desde aquí, hemos visto las llamas y hemos olido la desesperación de nuestros enemigos en el viento! Has hecho un trabajo espléndido, {playername}. ¡Ahora dejemos que el terror se apodere del corazón de cada hombre, mujer y niño de Valle, pues saben que ni siquiera su más formidables fortalezas escapan a nuestro alcance!
qstr_My_lord_they_fell_up|Mi señor, cayeron sobre nosotros con grandes fuerzas. No pudimos repeler a los Corsarios.
qstr_My_lord_they_fell_upo|Mi señor, cayeron sobre nosotros con grandes fuerzas. No pudimos repeler a los guerreros de Rhûn.
qstr_The_raid_on_{s12}_fa|¡La incursión contra {s12} ha fallado, debido a la incompetencia de nuestros aliados!
qstr_This_raid_was_ill_fa|Esta incursión estaba destinada al fracaso desde el principio. ¡Nunca debimos subirnos a esas balsas desvencijadas!
qstr_This_is_evil_news_yo|Malas noticias son esas que traes. Las velas negras se vuelven cada día más osadas, y toda Belfalas languidece ahora un poco más bajo su sombra. No te culparé en demasía, {playername}, por este fracaso, pero hemos recibido un duro golpe, muy duro en verdad. Ahora vete. La esperanza de Gondor mengua, y debemos luchar para mantener viva lo que queda de ella.
qstr_This_is_evil_news_you|Malas noticias son esas que traes. Los Hombres del Este se vuelven cada día más osados, y Esgaroth arde. No te culparé en demasía, {playername}, por este fracaso, pero hemos recibido un duro golpe, muy duro en verdad. Ahora vete. La esperanza de nuestro reino mengua, y debemos luchar para mantener viva lo que queda de ella.
qstr_Pah!_It_seems_you_we|¡Bah! Parece que no estás {hecho/hecha} para la vida marinera, {playername}. ¡Ahora mismo esos hombres de Gondor se sientan en lo alto de sus torres, orgullosos como reyes, riéndose mientras las velas negras arden! Tal vez a tus tropas no les vendría mal una temporada a los remos de una galera como castigo; una pena que estén bajo tu mando y no el mío. Al Ojo no le hará gracia lo que ha pasado. Ahora, déjame. 
qstr_Have_you_nothing_bet|¿No tienes nada más que ofrecer por tu fracaso que débiles excusas, {playername}? Puede que no seas tan fuerte como creíamos. Será mejor que de ahora en adelante sirvas mejor a nuestra causa, {playername}. ¡No habrá piedad con los débiles!
qstr_{playername}_we_have|{playername}, tenemos casi doblegada a Isengard. Han organizado una última defensa, un ejército que protege a Saruman en su torre. ¡Cabalga conmigo para hacerles frente!
qstr_Are_you_ready_to_mee|¿Estás {preparado/preparada} para enfrentarte a la última defensa de Isengard?
qstr_I_am_ready_to_ride_w|Estoy {preparado/preparada} para cabalgar contigo y marchar contra Isengard.
qstr_I_am_ready_to_ride_wi|Estoy {preparado/preparada} para cabalgar contigo y hacerles frente. Acabemos con esto de una vez.
qstr_I_am_not_ready_to_ri|No estoy {preparado/preparada} para cabalgar contigo aún. Necesito algo más de tiempo.
qstr_You_do_not_have_enou|No tienes tropas suficientes para ayudar en esta batalla. ¡Reúne al menos 30 hombres y únete a mí pronto!
qstr_Stay_close_we_will_t|Mantente cerca, tomaremos posicione scerca del enemigo. Cuando todos nos hayamos reunido, atacaremos.
qstr_You_have_taken_too_l|Has tardado demasiado... Marcharemos ahora, contigo o sin ti. Reuniremos a nuestras tropas cerca del enmigo, y antes de 3 días, atacaremos.
qstr_Make_haste_{playerna|Apresúrate, {playername}. No queremos darles tiempo para que se recuperen.
qstr_Your_mission_is_comp|Has completado la misión, {s9} quiere que continúes siguiendo a su ejército hasta nuevo aviso.
qstr_{s13}_asked_you_to_g|{s13} te ha pedido que reúnas {reg3} unidades de {s4} y se las lleves.
qstr_Moreover_should_you_|Además, si acanzas el rango de {s24}, podrás tomar parte en mi Concilio de Guerra, donde podrás proponer decisiones que afecten al curso de nuestra camapaña. De momento, como {s25}, limítate a seguirnos y mantente cerca. Pronto nos pondremos en marcha.
qstr_For_the_moment_just_|Por ahora, solamente síguenos y mantente cerca. Pronto nos pondremos en marcha.
qstr_{s9}_asked_you_to_sc|{s9} te ha pedido que explores {s13}, {s14} y {s15}, y que luego le informes de lo que encuentres.
qstr_You_have_been_most_h|Has sido de gran ayuda, {playername}. Te lo agradezco.
qstr_You_are_a_good_serva|Eres {un buen sirviente/una buena servidora}, {playername}. Sigue así.
qstr_Superb_work_{playern|Excelente trabajo, {playername}. Admiro tu actitud.
qstr_Your_efficiency_is_p|Tu eficiencia me complace, {playername}. Continúa así y llegarás lejos.
qstr_It_was_an_honour_to_|Servirte ha sido un honor.
qstr_Your_wish_is_my_comm|Tus deseos son órdenes para mí.
qstr_Sauron_in_Mordor_the|Sauron en Mordor, los Corsarios de Umbar, los Variags of Khand, y las tribus de Harad
qstr_Saruman_in_Isengard_|Saruman en Isengard y los hombres salvajes de las Tierras Brunas
qstr_Orcs_of_Moria_and_Do|los Orcos de Moria y de Dol Guldur
qstr_Orcs_of_Gundabad_and|los Orcos de Gundabad y los guerreros de Rhûn
qstr_Men_of_Gondor|los Hombres de Gondor
qstr_Riders_of_Rohan|los Jinetes de Rohan
qstr_Elves_of_Imladris_an|los Elfos de Imladris y de Lothlórien
qstr_Men_of_Dale_Dwarves_|los Hombres de Valle, los Enanos de Erebor, los descendiente de Beorn y los Elfos del Bosque Negro
qstr_Ah_{playername}_it_i|Ah, {playername}, me alegra que hayas venido. La guerra está a nuestras puertas y necesitamos que soldados y capitanes por igual cumplan sus juramentos.^^Estamos en guerra con {s11}, pero tenemos que reunir fuerzas y debilitar al enemigo antes de tener cualquier esperanza de marchar contra sus plazas fuertes y fortalezas. Cada derrota de nuestros enemigos nos acercará un paso más hacia la victoria y fortalecerá nuestra determinación. Así que confío en que aprovecharás cualquier oportunidad para enfrentarte a nuestros enemigos, ya sea una partida de exploradores o una hueste de guerreros. Pero no te lances a la batalla en solitario, debes lichar junto a nuestros valientes capitanes y también junto a nuestros aliados.
qstr_About_time_you_showe|Ya era hora de que aparecieras, {playername}. Ahora estamos en guerra y no toleraré ninguna insubordinación. Nos enfrentamos a {s11}, pero tenemos que reunir fuerzas y aplastar al enemigo en el camp antes de poder marchar contra sus fortalezas. Cada derrota de nuestros enemigos fortalecerá nuestro esfuerzo de guerra y los acercará un paso más hacia su absoluta destrucción. Así que confío en que aprovecharás cualquier oportunidad para enfrentarte a nuestros enemigos, ya sea una partida de exploradores o una hueste de guerreros. Además, debes prestar apoyo a nuestros capitanes y a nuestros aliados si los ves envueltos en un combate. No los falles, o lo sabré.
qstr_we_are_fighting_agai|estamos luchando contra {s13}
qstr_we_are_not_fighting_|no estamos en guerra con nadie ahora mismo
qstr__{s14}_gained_{reg78|{s14} ha ganado {reg78} puntos de experiencia.
qstr_Oh?_Let_me_see_that.|¿Oh? Déjame verlo... ¡Bien, bien, bien! Has hecho bien en traerme esto, {playername}. Aquí tienes mi sello como prueba de que lo he recibido, saluda a {s9} de mi parte cuando lo vuelvas a ver.
qstr_Give_me_that!_Hrmph!|¡Dame eso! ¡Hum! Has hecho bien en traerme esto, {playername}, eres {un sirviente/una servidora} útil. Dile a {s9} que haga uso de ti más a menudo.
qstr_What?_Let_me_see_tha|¿Qué? Déjame verlo... Hummm. Has hecho bien en traérmelo, {playername}. Ahora, fuera.
qstr_Give_me_that!_Hrmph!_|¡Dame eso! ¡Hum! eres {un siervo/una sierva} útil para tus Amos, {playername}, pero todos vosotros estaréis muertos más pronto que tarde. Aunque no ahora, así que ¡fuera de mi vista!
qstr_My_king|Mi rey
qstr_Lord|Señor
qstr_my_king|my rey
qstr_lord|señor
qstr_our|nuestro
qstr_your|vuestro
qstr_Moria_and_Gundabad|Moria y Gundabad
qstr_Moria|Moria
qstr_Gundabad|Gundabad
qstr_You_swear_an_oath_of|Haces un juramento de venganza contra {s3}. Ahora debes matar a tantas tropas de Moria y Gundabad como te sea posible en los próximos días. Eres plenamente consciente de que tus seguidores han sido testigos de este juramento y no deseas que te consideren {un perjuro/una perjura}. ¡Que comience el baño de sangre y muerte!^.
qstr_The_search_for_the_L|La búsqueda de las lanzas perdidas te ha traído a Dorwinion, hogar del antiguo reino norteño del rey Bladorthin. CONTINUARÁ
qstr__You_need_to_be_{s24|(Nacesitas ser {s24} o rango superior).
qstr_You_are_not_worthy_o|No eres {digno/digna} de mis habilidades. Prueba tu valía primero, y asciende por encima de {s25}. {s2}
qstr_I_am_sorry._I_cannot|Lo siento. No puedo atenderte mientras seas solo {s25}, hay otros asuntos más urgentes. {s2}
qstr_Yes_I_am_and_I_can_h|Sí, así es, y puedo ayudarte. Por un precio.
qstr_You_heard_right_and_|Has oído bien, y sí, puedo ayudarte.
qstr__Costs_1000_Resource|(Cuesta 1000 Puntos de Recursos, 5 de Influencia)
qstr_I_can_see_that._I_ll|Ya lo veo. Haré que mis tropas monten guardia mientras me encargo de ti. Llevará un tiempo. {s2}
qstr_Yes_I_see_that._I_ca|Sí, ya lo veo. Puedo atenderte, sí, pero me apartará de otros asuntos importantes. {s2}
qstr__Costs_1500_Resource|(Cuesta 1500 Puntos de Recursos, 10 de Influencia)
qstr_I_ll_have_my_persona|Haré que mis curadores personales se encarguen de vosotros. Son los mejores. Dime cuándo quieres que los haga venir. {s2}
qstr_I_ll_have_my_personal|Haré que mis curadores personales atiendan a tus tropas. Son los mejores en su oficio. Hazme saber cuándo los necesitas. {s2}
qstr_I_ll_have_them_here_|Los haré venir en seguida.
qstr_Let_us_begin._My_hea|Empecemos. Mis curadores se harán cargo de ti y de los tuyos.
qstr_Alright!_This_is_goi|¡De acuerdo! Esto te va a doler... mucho.
qstr_Let_us_begin._It_may|Empecemos. Puede que lleve un tiempo. Solamente relájate y déjame el resto a mí.
qstr_Impressive..._You_di|Impresionante... No te has encogido mucho de dolor. Vuelve a tu puesto.
qstr_Rest_the_wounds_have|Descansa, las heridas han sido atendidas.
qstr_Your_party_must_be_a|Tu grupo debe tener al menos 30 integrantes para empezar esta misión
qstr_You_were_tasked_to_h|Se te ha encomendado dar caza a los bandidos que han estado sembrando el caos el Norte. Puedes atacarlos en su guarida cerca del Bosque Negro o interceptarlos cerca de la casa de Beorn.
qstr_Mordor_gains_Faction|Mordor gana Fuerza de Facción al  haberr recibido un arma desconocida
qstr_Beornings_gain_Facti|La facción de los Beórnidas gana fuerza al extenderse las noticias de tu victoria.
qstr_Beornings_lose_Facti|Los Beórnidas pierden Fuerza de Facción al haber sido atacados.
qstr__{s14}_gains_faction|La facción de {s14} gana fuerza al extenderse las noticias sobre el Anillo de Poder.
qstr_You_must_return_and_|Debes volver a informar de que has derrotado a los líderes de los Caza-anillos y has recuperado un anillo mágico.
qstr_You_must_return_and_r|Debes volver a informar de que has derrotado al grupo de los Caza-anillos, pero que sus líderes ya podrían haber conseguido lo que andaban buscando.
qstr_Do_you_need_reinforc|¿Necesitáis refuerzos?
qstr_You_don_t_look_too_s|No parece que tengas hombres suficientes, ¿Necesitáis tropas?
qstr_^{s14}_is_grateful_t|^{s14} te lo agradece, {playername}, {s29}^
qstr_{s31}{reg28?Those:That|{s31}{reg28?Esos bravos:Ese bravo} {reg28?soldados ayudarán:soldado ayudará} sin duda a defender nuestras tierras .{s32}^^[ganas {reg14} Puntos de Recursos de {s14}]
qstr_{s31}{reg28?Those:That}|{s31}{reg28?Esos soldados:Ese soldadol} {reg28?serán útiles:será útil} para seguir sembrando el caos.{s32}^^[ganas {reg14} Puntos de Recursos de {s14}]
qstr_{s4}_^Oh_and_take_bac|{s4} ^Ah, y llévate de vuelta a esos soldados, que no son de los nuestros.
qstr_It_is_my_duty_to_hel|Es mi deber ayudar a nuestro pueblo.
qstr_It_is_my_duty_to_help|Es mi deber ayudar a nuestros aliados.
qstr_{s31}__Consumable._C|{s31} (Consumible. Puede volverse a comprar)
qstr_{s31}__Can_be_reboug|{s31} (Puede volverse a comprar)
qstr_I_wish_to_raze_an_en|Quiero arrasar un asentamiento enemigo hasta los cimientos.
qstr_I_wish_to_lead_our_m|Quisera liderar a nuestras tropas en un asalto contra un asentamiento enemigo.
qstr_More_snaga_who_will_|¿Más snaga que quieren lanzarse contra las murallas enemigas? Escucha atentamente y puede que te deje intentarlo.
qstr_Indeed?_Few_men_are_|¿De veras? Pocos son los que tienen tanta prisa por ofrecerse voluntarios para morir en las murallas. Hay mucho que debemos discutor antes de que pueda darte permiso para ir.
qstr_Indeed?_That_is_no_s|¿De veras? No es empresa pequeña la que propones y hay muchos asuntos que discutir antes de que pueda darte permiso para ir.
qstr_First_sieges_are_onl|¡Lo primero que debes saber es que emprender un asedio es una opción sólo para los más fuertes! Esto es todo lo que hay que hacer:
qstr_Here_is_all_that_nee|Esto es todo lo que hay que hacer:
qstr_Firstly_we_must_thin|Primero, debemos pensar en todos los obstáculos que se interponen en esta tarea:
qstr_You_need_sharp_weapo|Necesitas armas afiladass, carne fresca para las tropas y los huargos, leña para alimentar los fuegos, y brebajes para hacer que los más débiles sigan el ritmo del resto. También tendrás que mantener a raya a tu chusma, o acabarán matándose unos a otros antes siquiera de que lleguéis a las murallas. Estamos muy ocupados con nuestras propias batallas como para cuidar de vosotros, así que asegúrate de proveer lo que sea necesario para mantener en marcha a esos gusanos.^[requiere {reg3} recursos, {reg15} de influencia]
qstr_Steel_must_be_kept_s|Los aceros deben mantenerse afilados, los hombres y los caballos bien alimentados, los fuegos encendidos, hay que recoger agua y atender a los heridos. Tus tropas y tú no nos servís de nada si no podéis manteneros en campaña. Nuestras líneas ya están demasiado extendidas como para proporcionarte todo lo que se requiere, así que tendrás que encargarte de proveer todo lo necesario para que tu ejército se mantenga operativo durante un asedio.^[requiere {reg3} recursos, {reg15} de influencia]
qstr_Steel_must_be_kept_sh|Los aceros deben mantenerse afilados, los soldados y los caballos bien alimentados, los fuegos encendidos, hay que recoger agua y atender a los heridos; una batalla menos gloriosa pero no menos importante que la que se luchará en las murallas. Nuestras líneas ya están demasiado extendidas como para proporcionarte todo lo que se requiere, así que tendrás que encargarte de proveer todo lo necesario para que tu ejército se mantenga operativo durante un asedio.^[requiere {reg3} recursos, {reg15} de influencia]
qstr_Next_if_you_try_to_a|Segundo, si intentas atacar una capital enemiga, te ensartaré, si es que no estás {muerto/muerta} ya. Solo marchamos contra esos objetivos cuando el Amo lo ordene. Ve solamente allí donde el enemigo sea débil y pueda ser derrotado.
qstr_Secondly_you_do_not_|En segundo lugar, no tienes permiso para liderar a nuestra gente en un asalto contra una capital enemiga. Esas plazas solo pueden tomarse con el esfuerzo combinado de todas nuestras fuerzas unidas. Solo debes atacar allí donde nuestros enemigos ya hayan sido debilitados lo bastante como para que puedan ser derrotados.
qstr_Third_{s2}_is_on_its|Tercero, las fuerzas de {s2} están ocupadas con su propia campaña. Lucharemos junto a ti si el botín es prometedor, pero más te vale tener fuerza suficientes para vencer por tu cuenta, o no durarás mucho.
qstr_Furthermore_you_must|Además, debes tener en cuenta que las fuerzas de {s2} están ocupadas con su propia campaña. Nuestros estandartes te seguirán a la batalla si las circunstancias lo permiten, pero no pongas en ello todas tus esperanzas; bien puede ser que te veas {obligado/obligada} a luchar en solitario.
qstr_Last_remember_that_a|Por último, recuerda que, como {s25} que eres, no puedes permitirte un fracaso a ojos del Amo. Los riesgos para {s2} son grandes en esta empresa; si cosechas una derrota, nos encargaremos de que te arrepientas de haber nacido.
qstr_Finally_remember_tha|Por último, recuerda que como {s25} que eres, la vida y la muerte de muchos depende de tus éxitos o tus fracasos. Los riesgos para {s2} son grandes en esta empresa; si nos traes la ruina, las consecuencias serán severas.
qstr_Finally_remember_that|Por último, recuerda que como {s25} que eres, podrás regocijarte en la gloria de una victoria ganada con esfuerzo y considerar dicha victoria como tuya; pero si fracasas, todo el pueblo de {s2} pagará el precio de tu derrota. Cuando marchas al combate, llevas contigo el destino de {s2}; si nos traes la ruina, las consecuencias serán severas.
qstr_Still_think_you_can_|¿Todavía sigues pensnado que puedes hacerlo?
qstr_Knowing_what_I_have_|Sabiendo todo lo que te he dicho, ¿aún te crees capaz?
qstr_Knowing_what_I_have_t|Sabiendo todo lo que te he dicho, ¿aún quieres seguir adelante?
qstr_Give_me_the_banner_o|¡Dame el estandarte del Amo!
qstr_Yes_my_lord._Let_me_|Sí, mi señor. Déjame llevar nuestros estandartes a la batalla.
qstr_The_people_of_{s3}_t|El pueblo de {s3} te agradece tu regalo, {playername}. A cambio de tu regalo de {s1}, vamos a enviar al pueblo de {s4} un regalo de {s2}. Y gracias de nuevo, {playername}.
qstr_I_want_to_deliver_a_|Quiero entregar un regalo a nuestros aliados.
qstr_delivering_a_gift|entregando un regalo
qstr_I_want_to_bring_a_br|Quiero sobornar a uno de nuestros aliados.
qstr_delivering_a_bribe|realizando un soborno
qstr_{s2}_[{reg14}_Resour|{s2} [{reg14} Puntos de Recursos]
qstr_Gift|Regalo
qstr_You_have_requested_t|Ha solicitado entregar un regalo de {s1} a {s3} de {s2}. El pueblo de {s3} sin duda apreciará este amable gesto.
qstr_Bribe|Soborno
qstr_You_have_requested_to|Ha solicitado entregar un soborno de {s1} a {s3} de {s2}. Esperas poder obtener algún tipo de recompensa a cambio.
qstr_{reg3}_hours.|{reg3} horas.
qstr_hour.|hora.
qstr_Taking_{reg0}_inf._A|Conquista {reg0} inf. Alt?={reg1}
qstr_You_spent_{reg0}_of_|Gastas {reg0} de tu influencia con {s1}, sigues teniendo {reg11}.
qstr_The_War_is_over_{pla|La guerra ha terminado, {playername}, ¿No te has enterado?
qstr_We_are_at_war_with_{|Estamos en guerra con {s12}. Sin embargo, estamos luchando sobre todo contra {s13}.
qstr_We_are_at_war_with_{s|Estamos en guerra con {s12}. Sin embargo, solo hay escaramuzas por el momento.
qstr_we_are_not_too_conce|no estamos demasiado preocupados por ellos en este momento, ya que estamos luchando contra otros enemigos más cercanos a casa.
qstr__under_your_orders|, bajo tus órdenes.
qstr_{playername}_you_may|{playername}, quizás te hayas encontrado ya con las huestes de {s7}. De todos los capitanes que el enemigo ha dispuesto para atacarnos, {s7} de {s8} es quien ha ganado mayor renombre en los últimos tiempos. Su mera presencia en el campo de batalla basta para envalentonar a nuestros enemigos y debilitar la determinación de nuestros aliados. {playername}, si quieres llevar a cabo una gran hazaña en esta guerra, ¡destruye la hueste de {s7} en batalla campal, a la vista de todos! Así, tal vez vuelvas a encender la llama de la esperanza, y llenes de miedo el corazón de los que se nos oponen.
qstr_Do_you_mark_how_our_|¿Te has dado cuenta de cómo vacilan nuestros más fieros combatientes ante la mera mención de {s7} de {s8}? Lucha con gran valor, oh sí, pocos capitanes hay que sean tan capaces. ¡No podemos permitir que campe a sus anchas! Allá donde muestra su cara, nuestras líneas retroceden, y nuestros enemigos renuevan su coraje. Esto no puede seguir así. Te ordeno a ti, {playername}, que desafíes a las fuerzas de {s7} y las derrotes en batalla campal. ¡Ver cómo destrozas a {s7} hará que la sangre se congele en las venas de sus seguidores, y demostrará a nuestras tropas que nuestros enemigos pueden ser vencidos!
qstr_This_is_a_chance_for|Esta es una gran oportunidad para mostrar mi valía. Venceré a {s7} bajo la mirada de amigos y enemigos.
qstr_Accursed_be_those_wh|¡Malditos los que sigan a {s7} en este día aciago, pues los destrozaré, y haré que todos lo vean! 
qstr_{s9}_wants_you_to_de|{s9} quiere que derrotes en batalla a {s35} y sus tropas de {s36}.
qstr_I_humbly_ask_that_yo|Pido humildemente que otro acometa tal desafío. No creo que pueda vencer a {s7} en batalla.
qstr_Mercy_I_crave!_To_fa|¡Piedad, te lo suplico! ¡Enfrentarse a {s7} en batalla campal es una locura! ¡No puedo hacer tal cosa!
qstr_strong_warriors_from|de los guerreros más fuertes de {s7}
qstr_champions_from_{s7}_|campeones de {s7}, los más fuertes del campo de batalla
qstr_{playername}_the_men|{playername}, los soldados han oído historias sobre tropas enemigas de gran ferocidad. Estas historias terroríficas están desmoralizando a la tropa. Quiero que les muestres que no tienen nada que temer. Quiero que te enfrentes personalmente y derrotes a {reg22} {s6}.
qstr_{playername}_I_want_|{playername}, quiero que muestres a nuestros soldados la insignificancia de las tropas enemigas. ¡Mata personalmente a {reg22} {s6}! ¡Hazlo y demuestra así nuestra superioridad!
qstr_I_will_do_what_you_a|Haré lo que me has pedido, y me aseguraré de que los soldados son testigos.
qstr_high_level_troops_fr|tropas de alto nivel de
qstr_elite_level_troops_f|tropas de élite de
qstr_{s9}_wants_you_to_pe|{s9} quiere que derrotes personalmente a {reg22} {s6} {s7}.
qstr_I_want_you_to_person|¡Quiero que mates personalmente a
qstr_I_want_you_and_your_|¡Quiero que tú y tus tropas matéis a
qstr_{playername}_you_nee|{playername}, tienes que ganarte mi respeto y el de tus tropas. {s6} {reg22} tropas de {s7}!
qstr_{s9}_wants_you_to_per|{s9} quiere que mates personalmente a {reg22} {s6}.
qstr_{s9}_wants_you_and_y|{s9} quiere que tú y tus tropas matéis a {reg22} {s6}.
