dlga_start:mutiny_pretalk_1|喂，{playername}。告訴你.. ^小的們在抱怨！想多點樂子，少點行軍。
dlga_merchant_quest_brief:merchant_quest_brief_deliver_wine|我有一批{s6}需要送到{s4}的{s10}那。我們要在{reg6}天內把{reg5}單位的{s6}送到{s4}。你能做到嗎？^^[你會獲得{s14}的{reg14}資源點]
dlga_merchant_quest_brief_deliver_wine:merchant_quest_taken|好吧。我會負責運送的。
dlga_merchant_quest_brief_deliver_wine:merchant_quest_stall|我恐怕現在不能運送這些貨物。
dlga_merchant_quest_requested:merchant_quest_brief.2|謝謝你願意幫助。^^這場戰事已經持續太久導致有些據點的情況看上去不太好。^^或許你可以增援有需求的據點...
dlga_merchant_quest_brief:merchant_quest_brief_reinforce_center|{s5}被敵人打得亂七八糟。我們要派人去幫忙。^^我需要至少增援{reg5}名士兵到{s5}。^^不論他們是否有經驗。他們只需要有人到那邊去就好了。^^如果你能辦到，他們就可以撐更久。^^你怎樣看？
dlga_merchant_quest_brief_reinforce_center:merchant_quest_taken|好吧。我會盡力。
dlga_merchant_quest_brief_reinforce_center:merchant_quest_stall|抱歉，你得找其他人去做了。
dlga_mayor_mission_told_kill_quest_bandit:merchant_quest_stall|我現在不能做這件事。
dlga_merchant_quest_requested:merchant_quest_brief.4|謝謝你願意幫助。我剛好需要人去補給一些食物給我們。或許你可以幫忙...
dlga_merchant_quest_brief:merchant_quest_brief_deliver_food|我們的食物補給正在減少而且運送食物的補給隊被敵人搗毀了。我需要有人在{reg6}天內帶{reg5}單位的食物給我們，否則我們就要挨餓了。或許鄰近的友方城鎮有足夠的食物。你怎樣看？
dlga_merchant_quest_brief_deliver_food:merchant_quest_taken|好吧。我會去找食物拿來給你們。
dlga_merchant_quest_brief_deliver_food:merchant_quest_stall|我很抱歉，你得去找其他人做這件事了。
dlga_merchant_quest_requested:merchant_quest_brief.5|你說，任務？事實上我在找礦石和金屬的供應者。現在礦坑和路上都充滿著危險，很難拿到原料補給了。敵人一定是有隠密，但效率高的方法得到礦石，因為很多半獸人跟低等的野獸都配戴金屬製品。雖然這些東西的品質都符合使用者：劣等、廉價的鐵；這類我們一般都認為是不實或不能信任的東西。但這段時間我們的治煉匠學會了怎樣去使用低等的材料，必要的話啦。總比沒有好。
dlga_merchant_quest_requested:merchant_quest_brief.6|你說，任務？主人每天都在要求更多的部隊，而他們卻從來沒有達到他的標準...但是盔甲不會長在皮膚上，懂嗎？^負責補給礦石的蛆蟲帶來的既劣等又軟弱，搞得他們一下就被屠殺害我們沒有材料可用。但這些人類、這些精靈...他們總是穿著閃亮、貴重的金屬像國王一樣的保護著他們，甚至連他們最低等的也有...^扒光他們的屍體並帶金屬來給我，{playername}。使用他們的一磅鐵，我們的治煉匠可以生產足夠的材料來覆蓋整群戰士。
dlga_merchant_quest_brief:merchant_quest_brief_deliver_iron|我們需要在{reg6}天弄到{reg5}單位的{s6}，否則武器匠會沒有原料可用。你怎樣看？
dlga_merchant_quest_brief_deliver_iron:merchant_quest_taken|好吧。我會去找你要的那些廢金屬來給你。
dlga_merchant_quest_brief_deliver_iron:merchant_quest_stall|我現在沒空處理這件事。
dlga_merchant_quest_requested:merchant_quest_brief.7|謝謝你願意幫助。我剛好需要有人去護送補給隊。或許你可以幫忙…
dlga_merchant_quest_brief:escort_merchant_caravan_quest_brief|我準備送一支補給隊去{s8}。但是外面有很多敵人在巡邏，我不想在沒有護衛的情況下叫他們去。至少{reg4}人的護衛應該足夠。你可以護送補給隊在7天內到達{s8}嗎？[你將獲得{s14}的{reg14}資源點]
dlga_escort_merchant_caravan_quest_brief:merchant_quest_taken|好吧。我會護送補給隊的。
dlga_escort_merchant_caravan_quest_brief:merchant_quest_stall|我恐怕現在沒有足夠的士兵。
dlga_escort_merchant_caravan_quest_brief:merchant_quest_stall.1|抱歉。我現在不能做這件事。
dlga_start:close_window.28|剩下的路程我們可以自己搞定。謝謝。
dlga_start:close_window.29|嗯，我們快到達{s21}了。剩下的路程我們可以自己搞定。謝謝你護送我們。祝你好運。^^[獲得{s14}的{reg14}資源點]
dlga_start:merchant_caravan_intro_1|你好。你一定是我們的護衛，對吧？
dlga_merchant_caravan_intro_1:merchant_caravan_intro_2|對。我的名字是{playername}。我會帶你們到{s1}的。
dlga_merchant_caravan_intro_2:escort_merchant_caravan_talk|嗯，知道我們不會孤單的旅行真是好消息。現在你要我們怎麼做呢？
dlga_start:escort_merchant_caravan_talk|呃。我們已經走這麼遠了...你要我們怎麼做呢？
dlga_escort_merchant_caravan_talk:merchant_caravan_follow_lead|跟著我走。我會帶你們走一條安全的路線。
dlga_merchant_caravan_follow_lead:close_window|沒問題。我們會跟在你後面的。
dlga_escort_merchant_caravan_talk:merchant_caravan_stay_here|你們先在這裡等一下。我要去前面偵查道路。
dlga_merchant_caravan_stay_here:close_window|好的。我們會在這裡等你的。
dlga_merchant_quest_requested:merchant_quest_brief.8|其實，我正在找你這樣能幹的指揮官。這裡有一群特別麻煩的哥布林，他們在我們附近的鄰里出沒且經常狩獵補給隊跟流浪的戰士。他們躲掉了我們派出的所有巡邏隊。如果沒人能在短時間內處理掉他們，我就需要請求正式的軍事行動了...
dlga_merchant_quest_brief:troublesome_bandits_quest_brief|我需要有人幫我處理掉這些麻煩的哥布林。這是危險的工作。但我相信你就是適合的人選。你怎麼看？^^[你會獲得{s14}的{reg14}資源點]
dlga_troublesome_bandits_quest_brief:merchant_quest_taken_bandits|好吧。我會獵殺這些哥布林的。
dlga_merchant_quest_taken_bandits:close_window|你會嗎？很高興聽到你這麼說。祝你好運。
dlga_troublesome_bandits_quest_brief:merchant_quest_stall|抱歉。我現在沒時間做這件事。
dlga_merchant_quest_requested:merchant_quest_deal_with_night_bandits|我當然有！我們這兒盤踞著一群強盜，我已經試過無數種解決方法了，但都沒什麼效果。他們常在夜色的掩護下伏擊醉酒的新兵，等衛兵姍姍來遲，它們早就跑的沒影了。一直以來我們連其中一個都抓不住。他們只襲擊那些落單的人，人多的時候這群膽小鬼從來不敢露面。我需要某人能夠單槍匹馬的解決掉他們，因為這似乎是唯一的方法了。你願意接受這個任務麼？
dlga_merchant_quest_brief:merchant_quest_deal_with_night_bandits|我們這兒盤踞著一群強盜，我已經試過無數種解決方法了，但都沒什麼效果。他們常在夜色的掩護下伏擊醉酒的新兵，等衛兵姍姍來遲，它們早就跑的沒影了。一直以來我們連其中一個都抓不住。他們只襲擊那些落單的人，人多的時候這群膽小鬼從來不敢露面。我需要某人能夠單槍匹馬的解決掉他們，因為這似乎是唯一的方法了。你願意接受這個任務麼？
dlga_merchant_quest_deal_with_night_bandits:deal_with_night_bandits_quest_taken|幹掉一些流氓土匪？為什麼不呢！
dlga_merchant_quest_deal_with_night_bandits:merchant_quest_stall|不了，我沒興趣。
dlga_deal_with_night_bandits_quest_taken:mayor_pretalk|這真是幫我解決了一個重擔啊，{playername}。你成功回來時可以期待從我這裡拿到豐厚的報酬。可別把自己搞死了知道嗎？
dlga_merchant_quest_requested:merchant_quest_brief.9|這裡的駐軍指揮官正在尋找一個足智多謀的戰士來幫他帶一群{s12}到{s13}。
dlga_merchant_quest_brief:move_cattle_herd_quest_brief|這群人必須在{reg6}天內到達{s13}。越早，越好，但最晚一定得在{reg6}天內到達目的地。你能做到嗎？^^[你會獲得{s14}的{reg14}資源點]
dlga_move_cattle_herd_quest_brief:move_cattle_herd_quest_taken|好，我可以帶他們到{s13}的。
dlga_move_cattle_herd_quest_brief:merchant_quest_stall|我很抱歉，但不行。
dlga_move_cattle_herd_quest_taken:mayor_pretalk|太讚了。你能在城鎮外找到他們。當你帶他們到{s13}後，再回來找我領取你的報酬。
dlga_merchant_quest_requested:mayor_pretalk|目前沒有，指揮官。但大概很快就會有新的事了！磨利你的刀刃吧。
dlga_goods_merchant_talk:goods_trade_requested|我想要買些物品...或許也賣掉一些。
dlga_goods_trade_requested:goods_trade_completed|當然，當然...來，看看我的庫存吧...
dlga_goods_trade_completed:goods_merchant_talk|還有其他的嗎？
dlga_goods_merchant_talk:close_window|沒了。謝謝。
dlga_start:troublesome_bandits_intro_1|什麼？我們會殺了你。我們會拿走你們的食物跟坐騎然後吃掉。我們還會吃掉你。
dlga_troublesome_bandits_intro_1:troublesome_bandits_intro_2|你們會後悔在這個地區撒野的。你們根本就不該離開你們的山洞。
dlga_troublesome_bandits_intro_2:close_window|先殺了！待會再吃！
dlga_start:fangorn_orcs_intro_1|呃？老人會因為你打擾他的僕人工作而不高興的。
dlga_fangorn_orcs_intro_1:fangorn_orcs_intro_2|立刻停止傷害這座森林並離開，否則你會後悔的！
dlga_fangorn_orcs_intro_2:close_window|哈-哈！在處理掉你之後...我們想砍就砍想燒就燒！
dlga_start:disbanded_troop_ask|你要我們跟隨你嗎？
dlga_disbanded_troop_ask:disbanded_troop_join|是的。讓我們一起走吧。
dlga_disbanded_troop_ask:close_window|不。這次不用。
dlga_disbanded_troop_join:close_window|很遺憾。你的隊伍裡沒有空間給我們了。
dlga_disbanded_troop_join:close_window.1|我們會聽從你的指揮。
dlga_start:enemy_talk_1|你不會再次抓到我的。這次休想。
dlga_enemy_talk_1:enemy_talk_2|面對我你一點機會也沒有的。放棄吧。
dlga_enemy_talk_2:close_window|等你死了再說！
dlga_prisoner_chat_00:close_window|^^低吼！^^
dlga_prisoner_chat_00:prisoner_chat_3|你已經把我鍊住了，你還想要怎樣？
dlga_prisoner_chat_3:prisoner_chat_4|給我老實點，你這渣滓！
dlga_prisoner_chat_3:prisoner_slaughter|你正好是我們的下一頓晚餐！{s20}
dlga_prisoner_chat_4:close_window|是啊，講得好像我能嘗試一樣？滾啦！
dlga_prisoner_slaughter:prisoner_slaughter_02|總有一天你會付出代價的！
dlga_prisoner_slaughter:close_window|總有一天你會付出代價的....啊-嘎嘎！...
dlga_start:close_window.30|滾吧你，臭乞丐。
dlga_start:town_merchant_talk|日安，指揮官。我今天該怎麼為你服務呢？
dlga_start:town_merchant_talk.1|日安。我能為你做什麼嗎？
dlga_town_merchant_talk:trade_requested_weapons|我想要請求新的裝備。讓我看看你的倉庫裡有什麼吧。
dlga_town_merchant_talk:trade_requested_horse|我在想要不要買一隻坐騎。
dlga_town_merchant_talk:player_upgrade_trolls_take|我想要強化我的食人妖們！
dlga_player_upgrade_trolls_take:close_window|你哪來的資格問我這個？呸！給我滾！(你需要是{s24}或更高)
dlga_player_upgrade_trolls_take:player_upgrade_trolls_ask|你幫了我們很多忙。我們會在這裡給你的小子們配上鐵甲的！({reg21}資源點)
dlga_player_upgrade_trolls_take:close_window.1|你的食人妖就像喵喵叫的嬰兒。讓他們好好浴血後再來！
dlga_player_upgrade_trolls_take:close_window.2|我們這裡不會這樣做...
dlga_player_upgrade_trolls_take:close_window.3|你的食人妖甚至不會好好說話！他們不是我們的同類。他們從哪來的就帶他們回哪去！
dlga_player_upgrade_trolls_take:player_upgrade_troll_not_enough|忘了吧
dlga_player_upgrade_trolls_ask:player_upgrade_troll_buy_done|我要給其中一隻配鎧甲。
dlga_player_upgrade_trolls_ask:player_upgrade_troll_not_enough|看來我還沒贏得這個資格。我不會為這點小事來麻煩你了
dlga_player_upgrade_trolls_ask:player_upgrade_troll_not_enough.1|忘了吧
dlga_player_upgrade_troll_not_enough:close_window|浪費我的時間...
dlga_player_upgrade_troll_buy_done:close_window|是的...是的！過來，你個大呆瓜，你...
dlga_trade_requested_weapons:merchant_trade|啊，是的指揮官。這些商品是哪裡都找不到的好東西啊。
dlga_trade_requested_horse:merchant_trade|能騎又能殺的兇猛坐騎，還附贈餵牠們的肉！你找不到比我這裡更好的野獸了。
dlga_merchant_trade:town_merchant_talk|還有其他的嗎？
dlga_town_merchant_talk:merchant_gossip|告訴我。最近人們都在聊些什麼？
dlga_town_merchant_talk:close_window|再見。
dlga_start:town_dweller_talk|不好意思？
dlga_start:town_dweller_talk.1|日安，指揮官。
dlga_town_dweller_talk:town_dweller_ask_fugitive|我正在找一個名叫{s4}的逃犯。據說他正躲在這裡。
dlga_town_dweller_ask_fugitive:close_window|這座城鎮有很多陌生人進出。如果他躲在這裡的話，你一定能在附近找到他的。
dlga_town_dweller_talk:town_dweller_ask_info|你能跟我說有關這座村子的事嗎？
dlga_town_dweller_talk:town_dweller_ask_info.1|你能跟我說有關這個地方的事嗎？
dlga_town_dweller_talk:town_dweller_talk|這裡的生活如何？
dlga_town_dweller_talk:town_dweller_ask_rumor|最近這裡最新的傳聞是什麼？
dlga_town_dweller_ask_rumor:town_dweller_talk|我不知道有什麼是能引起你興趣的東西。
dlga_town_dweller_brawl:town_dweller_brawl_confirm|你是在威脅我嗎？守衛可是等你這種人出現等很久了。
dlga_town_dweller_brawl_confirm:close_window|哦真的嗎？那就讓我瞧瞧你有什麼本事吧。
dlga_town_dweller_brawl_confirm:close_window.1|不，我把你跟別人搞混了。
dlga_town_dweller_talk:close_window|[離開]
dlga_start:player_castle_guard_talk|是的，指揮官？
dlga_player_castle_guard_talk:player_castle_guard_talk_2|士兵，有什麼動靜嗎？
dlga_player_castle_guard_talk_2:player_castle_guard_talk_3|一切正常指揮官。沒有事情需要報告。
dlga_player_castle_guard_talk_3:close_window|很好。罩子放亮點。
dlga_start:close_window.31|日安，指揮官。能有你在{s10}這裡是我們的榮幸。
dlga_start:close_window.32|你不想惹上麻煩的話就老實點。
dlga_start:hall_guard_easter_egg|啊，剛過午夜啊。你知道嗎，最近這裡發生了件不尋常的事喔-你想聽聽看嗎？
dlga_hall_guard_easter_egg:hall_guard_easter_egg_scene|是的，請繼續。
dlga_hall_guard_easter_egg:close_window|不，我不在乎八卦。
dlga_hall_guard_easter_egg_scene:close_window|嗯...最近出現了一群不尋常的冒險者：一個人類、一個矮人跟一個精靈，然後...
dlga_start:hall_guard_talk|指揮官，你的命令是？
dlga_start:close_window.33|我們在站崗時不該交談的，指揮官。
dlga_hall_guard_talk:hall_guard_duty|繼續值勤並在有人來找我時讓我知道。
dlga_hall_guard_duty:close_window|是的，指揮官。如你所願。
dlga_hall_guard_talk:hall_guard_arrest|我要你立刻逮捕這個人！
dlga_hall_guard_arrest:hall_guard_arrest_2|你想要誰被逮捕呢，指揮官？
dlga_hall_guard_arrest_2:close_window|啊，不用管我情緒高昂的小夥子們。
dlga_hall_guard_arrest_2:close_window.1|忘了吧。我會想其他方法來處理這件事的。
dlga_enemy_defeated:close_window|噁！我討厭這個。
dlga_party_relieved:close_window|謝謝你幫我們對付那些混蛋。
dlga_start:battle_reason_stated|我會用你的頭顱當酒杯的！
dlga_member_chat_00:close_window.1|^^低吼！^^
dlga_member_chat_00:close_window.2|^^咕嚕嚕嚕嚕.....^^
dlga_member_chat_00:regular_member_talk|指揮官，你的命令是？
dlga_regular_member_talk:view_regular_char_requested|告訴我關於你的事吧
dlga_view_regular_char_requested:do_regular_member_view_char|是的，指揮官。讓我告訴你所有關於我的事吧。
dlga_do_regular_member_view_char:regular_member_talk|還有其他的嗎？
dlga_member_chat_00:disband_regular_member_confirm_yn|指揮官，能在你的手下為{s14}服務是我的榮幸。^^現在，你也知道，我被轉調回去防衛家園了。^我馬上就會啟程了。^^[你將獲得{s14}的{reg14}資源點]
dlga_regular_member_talk:disband_regular_member_confirm|你的家鄉{s12}，現在比我還更需要你的能力。
dlga_regular_member_talk:disband_regular_member_confirm.1|你受傷了...你應該回你在{s12}的家園，你在那裡肯定更有用。
dlga_regular_member_talk:close_window|沒什麼。繼續前進吧。
dlga_disband_regular_member_confirm:disband_regular_member_confirm_yn|我能暫時離開你的指揮，並回去保護我的家鄉嗎？^^[你將獲得{s14}的{reg14}資源點]
dlga_disband_regular_member_confirm_yn:close_window|可以，去那裡等待{s14}的命令吧。士兵，祝你好運！
dlga_disband_regular_member_confirm_yn:close_window.1|還不行，我這裡還需要你。
dlga_disband_regular_member_confirm_yn:disband_regular_member_insist|但，這裡也還需要你！
dlga_disband_regular_member_insist:close_window|我知道，但是我的職責呼喚我前往別的戰場。^我馬上就會啟程了。
dlga_start:routed_allies_talk|{reg1?大人:主人}，你活下來了！我們能不能再次加入你呢？
dlga_routed_allies_talk:close_window|是的，我們將再次一起為{s1}而戰。
dlga_routed_allies_talk:close_window.1|還不行，士兵。
dlga_start:routed_allies_talk_troll|^^低吼！^^
dlga_routed_allies_talk_troll:close_window|[讓他們再次加入你]
dlga_routed_allies_talk_troll:close_window.1|[離開]
dlga_start:party_encounter_friend|我們正聽從您的指揮，{s24}。
dlga_start:party_encounter_friend.1|{s4}是什麼把你帶到這裡的，{s24}？
dlga_party_reinforce:party_reinforce_end|我們目前沒有發現太多敵軍活動。之後再說吧，謝謝。
dlga_party_reinforce:party_reinforce_end.1|我們目前不需要更多的士兵了，謝謝你。
dlga_party_reinforce:party_reinforce_check|增援我們的隊伍？我們是可以用上更多的士兵啦，但記住我們只接受來自己陣營的部隊。
dlga_party_reinforce:party_reinforce_end.2|很遺憾的你沒有任何來自{s22}的士兵能增援我們。
dlga_party_reinforce_check:party_reinforce_check_1|讓我查查士兵名冊…
dlga_party_reinforce_check_1:party_reinforce_end|所以你改變主意了…^我明白了。
dlga_party_reinforce_check_1:party_reinforce_end.1|這些士兵對我們沒有用。^把他們帶回去吧。
dlga_start:close_window.34|你會害我遲到！巫師從不會遲到的！
dlga_start:close_window.35|它...在招手...
dlga_start:close_window.36|那邊那個！你活下來了？好啊！你不只能拿著一根棍子亂揮！這個拿去！
dlga_start:ori_choose_1|你很能打啊，親屬！我不知道你是怎麼活到現在的。我記得你最近才剛加入我們，就在這之前...就在巴林死前...你是從哪裡來的啊？
dlga_ori_choose_1:ori_choose_finish|我是名追蹤者，被派到靠近熊之民附近的林子。我是最近才聽說巴林一眾並加入的。
dlga_ori_choose_1:ori_choose_finish.1|我是個遠房表親，本是個遙遠礦坑的資深保鑣。然後我聽說巴林的消息就加入了。
dlga_ori_choose_1:ori_choose_finish.2|我來自鐵丘陵，是戰時的老兵，和平期間則是礦工。我聽說巴林的消息就加入了，為了殺掉更多半獸人。
dlga_ori_choose_finish:close_window|很高興聽你說！我找到了這些，很符合你的背景。我們會在這裡做最後一搏然後能拖多少一起下地獄就拖多少！
dlga_start:close_window.37|看來你也需要暖身一下嘛，是吧？來，喝一口這個。這會讓你感覺好點的。更多的半獸人要來了！
dlga_start:close_window.38|脫掉你身上的破銅爛鐵然後換上這個。應該能更好的保護你。那些半獸人咬起來很痛啊！
dlga_start:close_window.39|有大傢伙要來了！準備好！
dlga_start:close_window.40|他們數量太多了...但我們可是矮人啊！
dlga_start:close_window.41|那些半獸人打開了一個裝滿財寶的洞穴。這裡有些我找到的東西，動手拿走他們吧。
dlga_start:close_window.42|不...我聽到他們了...他們就在外面！他們無所不在！
dlga_start:close_window.43|這些...我們領主巴林的...你配得上這些...
dlga_start:party_encounter_hostile_attacker|你們對上我們一點勝算都沒有。立刻投降不然我們就殺光你們...
dlga_party_encounter_hostile_attacker:close_window|別攻擊！我們投降。
dlga_party_encounter_hostile_attacker:close_window.1|我們會與你戰鬥到底的！
dlga_start:party_encounter_hostile_defender|你想要什麼？
dlga_party_encounter_hostile_defender:party_encounter_hostile_ultimatum_surrender|投降或死亡！
dlga_party_encounter_hostile_defender:close_window|沒什麼。我們會安靜離開的。
dlga_start:close_window.45|*靜靜地盯著你*
dlga_start:battle_reason_stated.1|投降或死亡。選擇吧。
dlga_battle_reason_stated:close_window|我不怕你。我會跟你打的。
dlga_start:free|你好。我能為你做什麼嗎？
dlga_free:view_char_requested|告訴我關於你的事吧
dlga_view_char_requested:view_char|好的，聽著吧...
dlga_view_char:free|還有其他的嗎？
dlga_end:close_window|[完成]
dlga_start:threaten_1|想活命的話就放下你們的武器並投降
dlga_threaten_1:end|我們會先跟你打的
dlga_free:close_window|再見。
dlga_free:close_window.1|[離開]
