
str_yes|する
str_name_28|ドルラス
str_name_29|ドゥイリン
str_name_30|ドゥインヒア
str_name_31|エガルモス
str_name_32|エメルディア
str_name_33|エラダン
str_name_34|エレルロント
str_name_35|エレンディス
str_name_36|ファラサール
str_name_37|フェンゲル
str_name_38|フォルウェグ
str_name_39|フルムガール
str_name_40|フイヌア
str_name_41|ガルドール
str_name_42|ゲスロン
str_name_43|ゴルリム
str_name_44|グリスニア
str_name_45|グンドール
str_name_46|ハドル
str_name_47|ハルダール
str_name_48|ハルラカール
str_name_49|ハソル
str_name_50|ヘリオン
str_name_51|ヒルド
str_name_52|フンソール
str_name_53|イムラハ
str_name_54|ヨーレス
str_name_55|イヴォルウエン
str_name_56|ラバダル
str_name_57|ラルナハ
str_name_58|マゴル
str_name_59|マイレン
str_name_60|マラハ
str_name_61|マラントゥア
str_name_62|マルヴェギル
str_name_63|マルディル
str_name_64|メネルドゥア
str_name_65|ミナルカール
str_name_66|ミノホタール
str_name_67|オンドヘア
str_name_68|オルレグ
str_name_69|オロドレス
str_name_70|オストヘア
str_name_71|ペレンドゥア
str_name_72|ラグノール
str_name_73|サドル
str_name_74|スーリオン
str_name_75|ソロンギル
str_name_76|トゥランバール
str_name_77|ウルファスト
str_name_78|ウルワルス
str_name_79|ヴァラカール
str_name_80|ウルフ
str_name_elf_1|マールキル
str_name_elf_2|ロマノア
str_name_elf_3|アイグノール
str_name_elf_4|アムディーア
str_name_elf_5|アムラス
str_name_elf_6|アンナイル
str_name_elf_7|アレゼル
str_name_elf_8|アルミナス
str_name_elf_9|カランシア
str_name_elf_10|クルフィン
str_name_elf_11|ダイロン
str_name_elf_12|エルヒール
str_name_elf_13|エドラヒル
str_name_elf_14|エルレード
str_name_elf_15|エレストール
str_name_elf_16|フィンドゥイラス
str_name_elf_17|フィンロド
str_name_elf_18|フェラグンド
str_name_elf_19|ガラシル
str_name_elf_20|ガルドール
str_name_elf_21|ゲルミア
str_name_elf_22|ギルドール
str_name_elf_23|グイリン
str_name_elf_24|イシルボール
str_name_elf_25|リンディア
str_name_elf_26|ローミオン
str_name_elf_27|マイズロス
str_name_elf_28|マイグリン
str_name_elf_29|マルガラド
str_name_elf_30|ネルラス
str_name_elf_31|ネアダネル
str_name_elf_32|ネアウェン
str_name_elf_33|ニムロス
str_name_elf_34|オロドレス
str_name_elf_35|オロフェア
str_name_elf_36|オロフィン
str_name_elf_37|サイロス
str_name_dwarf_1|アシストニク
str_name_dwarf_2|ヴァデル
str_name_dwarf_3|アザガール
str_name_dwarf_4|ビフール
str_name_dwarf_5|ボフール
str_name_dwarf_6|ボンブール
str_name_dwarf_7|ボーリン
str_name_dwarf_8|ドーリ
str_name_dwarf_9|ドワーリン
str_name_dwarf_10|ファリン
str_name_dwarf_11|フラール
str_name_dwarf_12|フレリン
str_name_dwarf_13|フロール
str_name_dwarf_14|ガミル
str_name_dwarf_15|グローイン
str_name_dwarf_16|グロール
str_name_dwarf_17|イブン
str_name_dwarf_18|キーム
str_name_dwarf_19|ローニ
str_name_dwarf_20|ミーム
str_name_dwarf_21|ナル
str_name_dwarf_22|ナルヴィ
str_name_dwarf_23|ノーリ
str_name_dwarf_24|オイン
str_name_dwarf_25|オーリ
str_name_dwarf_26|テルハール
str_name_dwarf_27|マルコー
str_name_dwarf_28|オクトー
str_name_orc_1|トリグラフ
str_name_orc_2|アドグルグ
str_name_orc_3|アグヘズ
str_name_orc_4|アグク
str_name_orc_5|アログ
str_name_orc_6|アズフグ
str_name_orc_7|バグドゥズ
str_name_orc_8|バルグルグ
str_name_orc_9|ボグ
str_name_orc_10|ボルグ
str_name_orc_11|ブルガン
str_name_orc_12|ブムフグ
str_name_orc_13|カルグク
str_name_orc_14|ダルシュ
str_name_orc_15|デルサグ
str_name_orc_16|ドレグ
str_name_orc_17|ドゥガロド
str_name_orc_18|エルトグス
str_name_orc_19|ファンダグ
str_name_orc_20|ファルグヘズ
str_name_orc_21|フォズフグ
str_name_orc_22|フルボグ
str_name_orc_23|ゴルグ
str_name_orc_24|グナルルグ
str_name_orc_25|グルグ
str_name_orc_26|ハグク
str_name_orc_27|ホクヌク
str_name_orc_28|イグムト
str_name_orc_29|ジョラグ
str_name_orc_30|ジュクハ
str_name_orc_31|カルグク
str_name_orc_32|クログ
str_name_orc_33|クロシュ
str_name_orc_34|クルガ
str_name_orc_35|マルグルク
str_name_orc_36|マズグ
str_name_orc_37|ナガハト
str_name_orc_38|ヌグブ
str_name_orc_39|ヌルバグ
str_name_orc_40|オグガ
str_name_orc_41|オロダグ
str_name_orc_42|オモグルグ
str_name_orc_43|オポグク
str_name_orc_44|オルゴス
str_name_orc_45|ペルサグ
str_name_orc_46|ポフハグ
str_name_orc_47|プルサ
str_name_orc_48|ラグク
str_name_orc_49|ロマロド
str_name_orc_50|ルグブ
str_name_orc_51|サルグルグ
str_name_orc_52|スログ
str_name_orc_53|スフガン
str_name_orc_54|スルグハ
str_name_orc_55|トルグ
str_name_orc_56|トゥルバグ
str_name_orc_57|ウルグハト
str_name_orc_58|ヴァルグク
str_name_orc_59|ズログ
str_name_orc_60|ズヌグク
str_surname_1|タルノストの{s50}
str_surname_2|ロスサールナッハの{s50}
str_surname_3|エレヒの{s50}
str_surname_4|エゼルロンドの{s50}
str_surname_5|ペラルギアの{s50}
str_surname_6|リンヒアの{s50}
str_surname_7|エスリングの{s50}
str_surname_8|アルドブルグの{s50}
str_surname_9|アイゼンガルドの{s50}
str_surname_10|ウェストフォルドの{s50}
str_surname_11|エレボールの{s50}
str_surname_12|イーストフォルドの{s50}
str_surname_13|黒門の{s50}
str_surname_14|キリス・ウンゴルの{s50}
str_surname_15|オスギリアスの{s50}
str_surname_16|モリアの{s50}
str_surname_17|谷間の国の{s50}
str_surname_18|エスガロスの{s50}
str_surname_19|ドル・グルドゥアの{s50}
str_surname_20|グンダバドの{s50}
str_surname_21|のっぽの{s50}
str_surname_22|やせっぽちの{s50}
str_surname_23|ナズグールの{s50}
str_surname_24|スズメの{s50}
str_surname_25|罰当たり{s50}
str_surname_26|向こう傷の{s50}
str_surname_27|金髪の{s50}
str_surname_28|冷酷{s50}
str_surname_29|赤の{s50}
str_surname_30|黒の{s50}
str_surname_31|のっぽの{s50}
str_surname_32|夢想家{s50}
str_surname_33|向こう見ずの{s50}
str_surname_34|木喰らいの{s50}
str_surname_35|悪だくみの{s50}
str_surname_36|臆病{s50}
str_surname_37|秀才{s50}
str_surname_38|神速の{s50}
str_surname_39|吟遊詩人の{s50}
str_surname_40|坊主頭の{s50}
str_surname_41|癇癪持ちの{s50}
str_number_of_troops_killed_reg1|戦死者:{reg1}
str_number_of_troops_wounded_reg1|負傷者:{reg1}
str_number_of_own_troops_killed_reg1|友軍戦死者:{reg1}
str_number_of_own_troops_wounded_reg1|友軍負傷者:{reg1}
str_retreat|退却！
str_siege_continues|戦いは続く・・・
str_casualty_display|自軍犠牲者:{s10}^敵軍犠牲者:{s11}{s12}
str_casualty_display_hp|^あなたは負傷してヒットポイントを{reg1}失いました。
str_quest_log_updated|クエストログが更新されました・・・
str_banner_selection_text|あなたは自分の戦旗をかかげる事を許されました。戦旗はあなたの^地位を表わし、栄誉をもたらします。どの戦旗を選びますか？
str_loot_village|罪のない村人を襲う
str_steal_from_villagers|貧しい村人からものを盗む
