
str_yes|是
str_battle_fate_5|我被俘虏，不久找了个机会逃跑了
str_npc_morale_report|我{s6}你选择的同伴，{s7}你的领导风格，{s8}现在总体的情况
str_happy|喜欢
str_content|满意
str_concerned|关注
str_not_happy|一点都不喜欢
str_miserable|特别害怕
str_morale_reg1|士气：{reg1}
str_bar_enthusiastic|热情
str_bar_content|满足
str_bar_weary|厌倦
str_bar_disgruntled|不满
str_bar_miserable|害怕
str_here_plus_space|这里
str_npc1_intro|你好，战士，欢迎来到落日之窗。
str_npc2_intro|你好，来访者！你来这儿有何贵干？
str_npc3_intro|哦噢！请保持安静，旅行者。
str_npc4_intro|欢迎来到金殿，战士！
str_npc5_intro|嘿，{playername}。Mae govannen（辛达林语：很高兴见到你！）
str_npc6_intro|离我远点，陌生人！我可不想和你说话！
str_npc7_intro|奇力，德瓦林之子，乐意效劳！
str_npc8_intro|欢迎来到河谷镇，旅行者！有什么我可以做的吗？
; str_npc9_intro|Ssh! If you so much as wave to the guards, I'll slice out your gizzard and feed it to the wargs!
str_npc10_intro|你！
str_npc11_intro|啊！你不是这附近的？我可以闻出来，要是你跟大佬说我不能闻，我会把你的眼珠从你眼眶里揪出来！
str_npc12_intro|哦吼！你在这儿藏着想要做什么？
str_npc13_intro|站住！你来酋长的帐篷要做什么？
str_npc14_intro|陌生人，你走路的姿势说明你家离海不远。
str_npc15_intro|赞美邪眼，一个战士！
str_npc16_intro|在东方的土地上，一个我从未见过的人直接走进我的帐篷可是很少见的事儿。你来这里做什么？长话短说。
str_npc17_intro|嘿，你喜欢我们这儿的树么？
str_npc1_intro_response_1|你好，追踪者大师。南方的游侠过得如何？
str_npc2_intro_response_1|我当然有很重要的事情，你是谁？
str_npc3_intro_response_1|同样祝你有个美好的一天，有什么问题么？
str_npc4_intro_response_1|向你问好，我的女士。我是否有幸得知您的芳名？
str_npc5_intro_response_1|您好，精灵贵族！与您相见真是三生有幸。（注：葛罗芬戴尔是诺多精灵王族，在魔戒魔戒同盟卷二第一章中被甘道夫评价为：‘首生儿女中大有力量的人物之一’‘隶属王侯家族的精灵领主’；首生儿女是精灵族别称）
str_npc6_intro_response_1|这是西尔凡精灵（木精灵别称）向客人打招呼的方式？
str_npc7_intro_response_1|{playername}竭诚为您服务。都灵的子民们过得如何？
str_npc8_intro_response_1|向你问好，我还在想是否有志愿者可以加入我们的旅程呢。
str_npc9_intro_response_1|把你的敌意放下，强兽人！我不是告密者。
str_npc10_intro_response_1|你是谁？
str_npc11_intro_response_1|你是谁？
str_npc12_intro_response_1|你是谁？
str_npc13_intro_response_1|你是谁？
str_npc14_intro_response_1|你是谁？
str_npc15_intro_response_1|赞美邪眼，下仆。说出你的故事！
str_npc16_intro_response_1|你是谁？
str_npc17_intro_response_1|幽暗密林是一篇壮丽的森林。你是谁？你知道关于这片树林的很多细节么？
str_npc1_intro_response_2|没关系，我想洞穴并不是交谈的好地方。
str_npc2_intro_response_2|不用管我，我没时间跟守卫交谈。
str_npc3_intro_response_2|没关系，我会在其他地方做我的‘球拍’ 的。
str_npc4_intro_response_2|不好意思，我在其他地方有紧急事情要做。
str_npc5_intro_response_2|不好意思，我还有一些不那么重要的客人要招待。
str_npc6_intro_response_2|我也正有此感，再见。
str_npc7_intro_response_2|没关系，我需要一些新鲜空气。
str_npc8_intro_response_2|没关系，我们仅仅是在观光而已。
str_npc9_intro_response_2|我只是在做我的事情而已，不然的话我的用剑手会痒。
str_npc10_intro_response_2|[忽视并离开]
str_npc11_intro_response_2|管好你自己，渣滓！
str_npc12_intro_response_2|管好你自己，渣滓！
str_npc13_intro_response_2|管好你自己就行了！
str_npc14_intro_response_2|管好你自己就行了！
str_npc15_intro_response_2|嗯？把你的小爪子留给你自己吧，下仆。
str_npc16_intro_response_2|管好你自己就行了！
str_npc17_intro_response_2|是的，这里的每棵树木都令人感到愉悦，但我现在得走了。
str_npc1_backstory_a|吾友，你在这个困难的时代来到了我的面前。伊西力安正被敌军的斥候和掠夺者淹没，据报还有半兽人大军正在进发。我们正试图阻止这些污秽的生灵横跨大河（安度因河别称），我也曾领着一群精锐游侠取得了一次又一次的胜利。我的队长法拉墨是一个胆大的人，他绝不允许魔多绝望的阴影压在刚铎人民的头上。
str_npc2_backstory_a|你能询问我真让我感到受宠若惊。我刚刚才被分配到了摄政王卫队中守卫门厅。这真是一件荣耀的职责，如果不是那么忙就好了。
str_npc3_backstory_a|好…吧…我的旧头盔每分钟都在…变…变小…大地在不停的晃动…好像我…正骑着某个淘气的树叶…哎…要是…要是…我没把所有的麦酒…都…喝光…就好了…我平时酒量很好的…一定是喝了…该死的半兽人酒…
str_npc4_backstory_a|我叫格尔玛，今天是专程来见你的，{playername}。让我来告诉你原因。
str_npc5_backstory_a|你可能曾听说过我在战场上的功绩，那早已被凡人遗忘的功绩。这次战争将会是艾尔达面临的又一次危机，但这将是最后一次战争。（注：艾尔达是精灵的别称，星辰的子民）
str_npc6_backstory_a|请原谅我的莽撞，陌生人，我们这里的访客很少并且他们看起来都并不可信。数周之前，这个矮人出现在这里然后…不好意思，我跑题了。我的名字是露亚瓦纳，幽暗密林中的西尔凡精灵（木精灵别称）。
str_npc7_backstory_a|感谢你这么礼貌的询问，{playername}。我们这在和入侵的东方人以及刚达巴半兽人交战，但目前为止，没有什么事儿是我们和我们的河谷镇盟友不能解决的。
str_npc8_backstory_a|如果你去询问兵营军需官的话，可以肯定你会找到一些志愿者。至于我？我有中等层次的治疗师和草药医生技能。
str_npc9_backstory_a|好啊，人们都叫我葛玛。用肠子都能猜到我的头儿和他手下那帮下仆正在猎杀我。^这群无用的猪猡！之前，我们被一群稻草人(对洛汗人的贬义称呼)巡逻队埋伏…他打输了。‘退后！’他这样尖叫道，然后就跑掉了。只有葛玛和少数几个还站得稳，并把骑兵冲锋给打破了。呵呵呵，我们之后还把那群黄头发打成糊。当初要不是我们强大，早就不知道被什么东西消化掉了。
str_npc10_backstory_a|我是都戈什！
str_npc11_backstory_a|不！不是跟踪者！这是谁？他们把我扔出来了！我跟你说，他们都失心疯了，就是如此。诅咒他们！一开始他们说我射箭不准，又说我跑得太慢，最后说我鼻子不灵。啊呸！要不是他们老找我麻烦，我早就进黑坑（邪黑塔周边）了。我一定要把那些大佬的皮剥下来，再占了他们的位置！
str_npc12_backstory_a|我在这里指挥一群伙计。我是哥巴葛，你最好快点儿学会这个道理—我们强兽人才是这里真正的头儿。大头儿有时会打滑，哪怕最大的头儿也会犯错。总是可怜的强兽人把错误扶正，奖赏却很少。他们甚至不会告诉我们他们知道的事情，不是么？他们连一半都不说，唔啊啊啊啊啊！
str_npc13_backstory_a|我？我是南方沙漠的一颗砂砾，被寒冷和黑暗的夜风吹向北方。我是莱克雅达，哈拉德的蛇王，金蛇之主，黑蛇部落的诅咒，现服务于黑暗魔君的意志。
str_npc14_backstory_a|我是弗达墨，昂巴南方领域之子。哈隆铎之南，贝尔法拉斯湾，两者都是我和我人民的家乡。我们是海洋与航行的君王，某些人口中的海盗，贝尔法拉斯湾的同类。
str_npc15_backstory_a|我是博扎克天赐者，组骨者，缝合者，治愈萨满。如果你正为邪眼奋战，你和你手下的小家伙们肯定会在和白皮佬（对西尔凡精灵的贬义称呼）或是驯马佬（对洛汗人的贬义称呼）的战斗中受伤。现在嘛，不会不会不会啦！半兽人的确要多少有多少，但伟大的领袖呦，座狼呢？巨人呢？洞穴食人魔呢？嘘！你的兵员很短缺！你需要我，伟大的博扎克！
; str_npc16_backstory_a|Well now, it is the stranger who should declare himself first. Nevertheless, I am Varfang of the Balchoth kin... I can tell that you have not yet heard the songs or tales of my land that speak the name of the Balchoth, for the very name would check your courage and fill your heart with woe.
str_npc17_backstory_a|人们叫我丁博，我在树林里工作。那里很好，我喜欢树林。树林里有很多树，我喜欢树。我这一辈子都在树林里工作，因为我很强壮，也因为我喜欢树。
str_npc1_backstory_b|你应当知晓我是名继承了登丹人血统与勇敢的伊西力安游侠。我知道如何追踪和侦查，而无数半兽人则知道我的剑艺与射术。我还能训练任何愿意与魔多阴影相抗衡的勇敢灵魂。
str_npc2_backstory_b|我曾被训练成为米那斯提力斯的看守，保护圣白城的安全，并服务于刚铎的摄政王。
; str_npc3_backstory_b|I am a Rider of the Westfold éored - they left without me on a long patrol to the Isen fords. I know their conduct will be worthy of the green banner, but I fear many won't return.
str_npc4_backstory_b|我生于一个贵族家庭，从我还是一个小女孩儿的时候，我就被选作伊欧玟女士的伴娘服侍他。我们的父辈很明智，允许我们像男孩儿一样接受战斗训练，让我们成为了洛汗的执盾之女。
str_npc5_backstory_b|我是埃尔隆德大人向凯勒鹏大人派遣的大使，我的任务包括提供援助与建议，以支援位于罗马尼安的战争。
str_npc6_backstory_b|我很喜欢游走在我们美丽森林的隐蔽小径中。有时我会放轻脚步，去观察林中动物的习性。对伊甸人来说，成捆的武器和高大的城墙很美；但就我个人而言，稀有鸟儿歌唱和野猪巢穴也并不逊色。
